Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Enzo Souza,Atendente de clínica veterinária,94738.4,19039.66,9227.69,74625.6,123005.75,197631.35,Acre
Vinicius Ferreira,Auxiliar de estúdio,94738.42,16725.78,3543.46,71669.48,115007.66,186677.14,Acre
Lucas Fernandes,Árbitro geral de campo,87821.6,979.05,0,65567.46,88800.65,154368.11,Acre
Gustavo Dias,Aquarelista,82513.64,0,1040,40496.2,83553.64,124049.84,Acre
Bruna Rodrigues,Abacaxicultor,60457.62,0,0,34411.26,60457.62,94868.88,Acre
Rafaela Santos,Atleta de triatlo,46464.92,0,0,25685.31,46464.92,72150.23,Acre
Joao Lima,Auxiliar de costureira (no acabamento),51395.54,0,0,19863.75,51395.54,71259.29,Acre
Júlio Souza,Agente indígena de saneamento,46466.32,0,0,18599.01,46466.32,65065.33,Acre
Diego Dias,Ajudante de polidor de veículos,44636.34,0,0,18479.13,44636.34,63115.47,Acre
Maria Goncalves,Advogado tributarista,33741.18,0,0,0,33741.18,33741.18,Acre
Sofia Alves,Amolador ambulante,21984.2,4.6,0,2895.16,21988.8,24883.96,Acre
Anna Azevedo,Auxiliar de armazenamento,9448,0,0,1500,9448,10948,Acre
Victor Ribeiro,Agente de pátio e terminais (ferrovia e metrô),3780,0,0,0,3780,3780,Acre
Anna Castro,Assistente jurídico,32259,2817,1045,1437,36121,37558,Acre
Tiago Dias,Agente de vistoria de alarmes,56781,0,2988,19002,59769,78771,Acre
Júlio Sousa,Artista de cinema,49132,0,1150,11715,50282,61997,Acre
Douglas Pinto,Ajudante de afiador,2774,0,0,1123,2774,3897,Acre
Kauê Martins,Atendente central telemarketing,43292.05,0,0,13421.85,43292.05,56713.9,Acre
Larissa Fernandes,Agrostólogo,6556.42,0,0,501.56,6556.42,7057.98,Acre
Caio Cardoso,Ajudante de embarque de carga,380,0,475,65.42,855,920.42,Acre
Julian Cardoso,Alisador de metal,177704.17,0,22053.05,95864.17,199757.22,295621.39,Acre
André Cunha,Atendente de clínica dentária,79209.72,16736.83,17545.43,101136.89,113491.98,214628.87,Acre
Sofia Martins,Auxiliar de enfermagem em saúde ocupacional,79209.72,21628.37,8450.5,93794.51,109288.59,203083.1,Acre
Pedro Goncalves,Auxiliar de nutrição e dietética,79209.72,19422.81,13102.34,88936.46,111734.87,200671.33,Acre
Vinicius Almeida,Analista de projetos viários,76971.06,21979.36,2796.37,69761.9,101746.79,171508.69,Acre
Lara Costa,Aramador - na fabricação de arame,90813,-420.72,14692.65,61516.4,105084.93,166601.33,Acre
Diogo Silva,Aviador (comércio varejista),68348.76,2760.24,6323.07,68290.7,77432.07,145722.77,Acre
Tiago Carvalho,Argumentista-roteirista de história em quadrinhos,65745.6,17025.11,3142.19,40473.4,85912.9,126386.3,Acre
Daniel Rodrigues,Antiquário comércio varejista,66373.51,758.13,3437.75,32917.32,70569.39,103486.71,Acre
Fábio Cardoso,Árbitro assistente (futebol),61309.68,176.85,2657,38127.76,64143.53,102271.29,Acre
Giovanna Cavalcanti,Ajustador de oficina de cilindros,51315.36,0,-735.08,38305.86,50580.28,88886.14,Acre
Isabella Rocha,Apresentador animador de programas de televisão,48765.84,1167.57,1719.2,34025.53,51652.61,85678.14,Acre
Alex Rocha,Árbitro lateral (judô),48705,0,2917.64,33531.14,51622.64,85153.78,Acre
Bruna Santos,Auxiliar de cabeleireiro,42568.92,30.7,2504.55,36230.45,45104.17,81334.62,Acre
Larissa Goncalves,Ajudante de forneiro,42040.44,0,2274.89,32140.02,44315.33,76455.35,Acre
