Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Renan Ferreira,Abridor - nas salinas,186255.51,0,22975.2,131483.59,209230.71,340714.3,Alagoas
Otávio Almeida,Advogado contratualista,175052.8,0,10099.2,85197.6,185152,270349.6,Alagoas
Lavinia Goncalves,Agente de ação social,99475.33,60765.68,12909.22,88179.63,173150.23,261329.86,Alagoas
Leonardo Rocha,Agente de saúde,138527.98,5657.11,9156.44,99503.62,153341.53,252845.15,Alagoas
Samuel Dias,Agente sanitarista,158724.8,0,9157.2,80014.26,167882,247896.26,Alagoas
Brenda Souza,Ajudante de padeiro,158724.82,0,0,77458.46,158724.82,236183.28,Alagoas
José Barbosa,Ajudante de polimento,94738.4,59325.04,7216.24,74702.05,161279.68,235981.73,Alagoas
Emilly Sousa,Analista de estudos de mercado,94738.4,40121.76,5911.92,82401.7,140772.08,223173.78,Alagoas
Tiago Souza,Aplicador agrícola,90821.6,48156.47,5199.52,70774.02,144177.59,214951.61,Alagoas
Emilly Alves,Artesão escultor,139365.6,0,2710.8,63245.81,142076.4,205322.21,Alagoas
Gabriel Fernandes,Assistente de controladoria,129864.02,0,2476.4,69892.78,132340.42,202233.2,Alagoas
Julian Martins,Assistente de prevenção de perdas,94738.4,30015.36,4503.46,71532.02,129257.22,200789.24,Alagoas
Amanda Oliveira,Auxiliar de operação,123650,0,2339.6,57960.57,125989.6,183950.17,Alagoas
Clara Gomes,Auxiliar jurídico,94738.4,14769.6,1175,70807.12,110683,181490.12,Alagoas
Lucas Lima,Advogado (desportivo),116435.2,0,6684,51842.41,123119.2,174961.61,Alagoas
Renan Fernandes,Agbá,94738.41,5040.99,5911.92,66974.5,105691.32,172665.82,Alagoas
Rafaela Almeida,Alambrador - na fabricação de arame,83170.8,12370.5,0,68699.95,95541.3,164241.25,Alagoas
Livia Goncalves,Analista de cobrança (instituições financeiras),85099.34,396.81,4070.77,71886.53,89566.92,161453.45,Alagoas
Gabrielly Pinto,Analista de crédito (economista),83277.53,42325.3,600,34924.83,126202.83,161127.66,Alagoas
Luan Cardoso,Analista de crédito rural,100276.86,0,0,60714.18,100276.86,160991.04,Alagoas
Erick Carvalho,Auxiliar de lubrificador de veículos,71767.82,2428.92,0,67450.58,74196.74,141647.32,Alagoas
Leonor Dias,Auxiliar jurídico,51538.57,63120.45,4269.28,21002.48,118928.3,139930.78,Alagoas
Clara Lima,Alimentador de esteiras (preparação de alimentos e bebidas),68514.39,18619.68,1587.5,41121.49,88721.57,129843.06,Alagoas
Carlos Pereira,Apresentador animador de eventos,75618.4,1296.96,1175,46241.21,78090.36,124331.57,Alagoas
Vitor Silva,Assistente de estação (metrô e ferrovia),79148.12,637.67,1583.03,39530.15,81368.82,120898.97,Alagoas
Rafael Ferreira,Administrador financeiro,86023.81,0,0,26710.5,86023.81,112734.31,Alagoas
Cauã Araujo,Arrombador - no comércio de gado - empregador,58605,0,0,44122.75,58605,102727.75,Alagoas
Clara Castro,Atendente de serviço odontológico,64672.05,0,0,35092.22,64672.05,99764.27,Alagoas
Letícia Pereira,Adaptador de obras para teatro,58819.6,179.46,0,35464.95,58999.06,94464.01,Alagoas
Arthur Dias,Administrador de carteiras de crédito e cobrança,72696.24,0,0,21606.49,72696.24,94302.73,Alagoas
Giovanna Ribeiro,Administrador de recursos humanos,54787.2,9121.22,650,29635.16,64558.42,94193.58,Alagoas
Julieta Goncalves,Agente de ação social,58667.03,0,0,34329.87,58667.03,92996.9,Alagoas
