Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Luis Cardoso,Afiador de lâminas,163121.61,0,18864,83985.95,181985.61,265971.56,Amapá
Otávio Alves,Ajudante de guincheiro,158724.83,0,9157.2,70660.4,167882.03,238542.43,Amapá
Gabrielly Sousa,Auxiliar de feirante,113443.2,0,6544.8,66312.87,119988,186300.87,Amapá
Luana Alves,Ajudante de embarque de carga,66946.89,4156.35,1975.05,36408.51,73078.29,109486.8,Amapá
Alex Pinto,Analista de inteligência de mercado,66111.79,0,0,23325.44,66111.79,89437.23,Amapá
Miguel Santos,Apontador industrial,54787.2,6673.75,4289.36,22329.88,65750.31,88080.19,Amapá
Leonor Martins,Agente de inspeção de pesca,47846.27,676.28,0,31600.17,48522.55,80122.72,Amapá
Guilherme Azevedo,Analista de areias em fundição,37428.86,0,6793.88,16577.49,44222.74,60800.23,Amapá
Kauan Goncalves,Auxiliar técnico eletrônico,7810,0,0,0,7810,7810,Amapá
Matilde Araujo,Aguilhoeiro,2563,0,0,0,2563,2563,Amapá
Gabrielly Alves,Alugador (comerciante varejista),607.57,0,0,0,607.57,607.57,Amapá
Kauan Fernandes,Analista de exportação e importação,56325,0,1083,13022,57408,70430,Amapá
Gabrielly Cunha,Atleta do beisebol,45101,0,1388,10806,46489,57295,Amapá
Fernanda Correia,Agenciador de propaganda,36353,0,20,9899,36373,46272,Amapá
Matheus Gomes,Assistente comercial de seguros,13753,16,0,6703,13769,20472,Amapá
Kaua Correia,Abastecedor de caldeira,8164,0,0,0,8164,8164,Amapá
Tânia Dias,Adaptador de obras para teatro,5858,0,38,1400,5896,7296,Amapá
Danilo Carvalho,Aplicador serigráfico em vidros,71709.22,4635.29,7434.02,30018.67,83778.53,113797.2,Amapá
Matilde Rocha,Auxiliar de eletrotécnico,843.46,0,0,0,843.46,843.46,Amapá
Kai Cardoso,Advogado tributarista,33998.41,0,8846.76,13181.04,42845.17,56026.21,Amapá
Matheus Dias,Auxiliar técnico de manipulação em laboratório de farmácia,100015.4,0,6000.76,90590.25,106016.16,196606.41,Amapá
Gabrielly Costa,Alfaiate,81342.84,0,4067.16,48772.08,85410,134182.08,Amapá
Luiza Correia,Artesão crocheteiro,85832.62,0,0,39248.44,85832.62,125081.06,Amapá
Ryan Sousa,Advogado,19561.2,0,93157.69,0,112718.89,112718.89,Amapá
Erick Melo,Advogado (telecomunicações),43719.86,0,1700,32565.73,45419.86,77985.59,Amapá
Gabrielle Araujo,Agente de passagens,44376.48,168.01,1438.43,31389.15,45982.92,77372.07,Amapá
Julian Gomes,Árbitro de futebol de salão,48535.19,0,3655.49,20586.56,52190.68,72777.24,Amapá
Kaua Pinto,Arquivista de documentos,44168.76,1605.15,2453.64,23999.42,48227.55,72226.97,Amapá
Thaís Azevedo,Auxiliar de enfermagem de centro cirúrgico,37370.04,0,1434.2,30080.66,38804.24,68884.9,Amapá
