Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Tomás Oliveira,Agente de combate às endemias,98730.04,80828.08,5911.92,74205.1,185470.04,259675.14,Amazonas
Rebeca Castro,Agente de reserva de passagens aéreas,162501.62,0,9482.4,81352.72,171984.02,253336.74,Amazonas
Vinicius Alves,Ajudante de forjador,176353,276.27,0,62129.9,176629.27,238759.17,Amazonas
Sophia Azevedo,Ajudante de lavanderia de artefatos da tapeçaria,152604.83,0,7566,77829.99,160170.83,238000.82,Amazonas
Mateus Martins,Alvejador (tecidos),99475.32,47910.88,5911.92,75468.44,153298.12,228766.56,Amazonas
Luis Lima,Aplicador de isolante térmico,164321.6,0,0,50291,164321.6,214612.6,Amazonas
Eduarda Souza,Apontador de obras,158724.84,0,0,55049.19,158724.84,213774.03,Amazonas
Igor Barros,Árbitro assistente (futebol),117467.2,0,4532,89838.89,121999.2,211838.09,Amazonas
Erick Carvalho,Arrebanhador,94738.4,22366.29,6922.35,83698.21,124027.04,207725.25,Amazonas
Joao Rodrigues,Artista de rádio,94738.4,28764.78,6859.23,73996.28,130362.41,204358.69,Amazonas
Júlio Costa,Atendente de lavanderia,133142.4,0,2594.4,61428.83,135736.8,197165.63,Amazonas
Renan Carvalho,Atleta de remo,95096.72,15396.43,9327.98,74948.36,119821.13,194769.49,Amazonas
Sofia Souza,Atleta profissional de golfe,134558.4,0,5732,53559.52,140290.4,193849.92,Amazonas
Alex Ribeiro,Autor-roteirista de teatro,67371.25,82143.45,0,42648.25,149514.7,192162.95,Amazonas
Giovanna Cardoso,Autor-roteirista multimídia,93291.2,25895.65,2392.94,70205.36,121579.79,191785.15,Amazonas
Diogo Fernandes,Auxiliar de faturamento,94738.4,19839.43,9227.69,62499.48,123805.52,186305,Amazonas
Diego Melo,Auxiliar de laboratorista de solos e de concreto,94738.4,11937.79,5911.92,72901.3,112588.11,185489.41,Amazonas
Beatrice Rodrigues,Agente de serviços de fiscalização de transportes coletivos e licenciamento de veículos,107735.21,0,0,62860.03,107735.21,170595.24,Amazonas
Larissa Rocha,Agente de tráfego,113041.65,0,6596.4,50952.91,119638.05,170590.96,Amazonas
Marina Rodrigues,Agregado - na agropecuária,87239.2,10277.43,3355.98,68505.46,100872.61,169378.07,Amazonas
Rodrigo Gomes,Analisador de tráfego telefônico,108700.82,0,0,53582.26,108700.82,162283.08,Amazonas
Miguel Martins,Analista agroindustrial (economista),96468.8,0,5209.76,60504.11,101678.56,162182.67,Amazonas
Sarah Oliveira,Analista de informações de mercado,67371.21,32554.8,3303.77,57274.39,103229.78,160504.17,Amazonas
Rodrigo Oliveira,Anotador de produção,112159.2,0,0,45075.95,112159.2,157235.15,Amazonas
Carlos Barros,Aplicador de serigrafia,96427.23,0,0,59619.54,96427.23,156046.77,Amazonas
Renan Silva,Arteterapeuta,100276.9,0,0,51213.78,100276.9,151490.68,Amazonas
Samuel Ribeiro,Assistente técnico florestal,76323.2,1112.82,1080,70296.85,78516.02,148812.87,Amazonas
Vitória Gomes,Atendente de aeroporto,72196.8,24035.85,0,52138,96232.65,148370.65,Amazonas
Isabela Dias,Atendente de telemarketing,61200.8,20627.33,14046.48,51401.85,95874.61,147276.46,Amazonas
Luana Cavalcanti,Auxiliar de confecção,85954.42,6176.85,4305.56,47997.72,96436.83,144434.55,Amazonas
Beatriz Dias,Afiador e laminador de serras,80148.01,0,0,54978.08,80148.01,135126.09,Amazonas
Clara Rocha,Agente de estação (manobras),82527.2,1482.97,0,50564.76,84010.17,134574.93,Amazonas
Laura Azevedo,Agente de inteligência,78041.6,0,9004.8,47393.12,87046.4,134439.52,Amazonas
Gabriel Ribeiro,Agente de recrutamento e seleção,101402.4,0,0,32587.97,101402.4,133990.37,Amazonas
Mateus Barros,Alimentador de máquina automática,88435.2,0,3108.01,38275.14,91543.21,129818.35,Amazonas
