Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Leonardo Sousa,Abadessa,267870.98,0,22267.24,266130.68,290138.22,556268.9,Bahia
Douglas Cardoso,Acompanhante de idosos,167129.47,0,22241.98,131141.29,189371.45,320512.74,Bahia
Luana Ferreira,Administrador de materiais,193778.4,0,8868.48,89992.57,202646.88,292639.45,Bahia
Martim Barros,Administrador de recursos humanos,213025.72,0,3898,69866.8,216923.72,286790.52,Bahia
Danilo Fernandes,Advogado,136202.55,2071.57,22364.34,115011.12,160638.46,275649.58,Bahia
Camila Cunha,Advogado (biodireito),99475.32,85900.49,4657.8,84441.53,190033.61,274475.14,Bahia
Julian Carvalho,Afiador e laminador de serras,127782.49,16673.06,12283.38,107987.61,156738.93,264726.54,Bahia
Sofia Oliveira,Afinador de motores diesel (exceto de veículos automotores),140856.59,0,17615.13,105350.48,158471.72,263822.2,Bahia
Ana Sousa,Agente da guarda portuária,157669.3,0,0,103729.94,157669.3,261399.24,Bahia
Isabela Silva,Agente de reserva de passagens rodoviárias,178751.76,0,0,74498.24,178751.76,253250,Bahia
Alex Castro,Agente de vendas de serviços,113080,16418.72,15427.15,104053.18,144925.87,248979.05,Bahia
Ágatha Cavalcanti,Ajudante de cabista,113080,27088.86,15612.91,87404.6,155781.77,243186.37,Bahia
Lavinia Rodrigues,Ajudante de churrasqueiro,113080,33687.51,10786.83,84975.63,157554.34,242529.97,Bahia
Emilly Ferreira,Ajustador mecânico em bancada,126283.25,0,2435.2,103354.75,128718.45,232073.2,Bahia
Bruno Carvalho,Analista tributário (economista),158724.81,0,0,59680.79,158724.81,218405.6,Bahia
Tiago Melo,Aplicador serigráfico em vidros,97862.88,15850.94,12909.22,87692.5,126623.04,214315.54,Bahia
Julieta Azevedo,Aprendiz de macarroneiro,94738.4,31901.66,9227.69,77852.58,135867.75,213720.33,Bahia
Julian Santos,Arquiteto de patrimônio,136344,0,7956,64275.2,144300,208575.2,Bahia
Tomás Rocha,Artista de lira,140813.61,0,561.2,63034.75,141374.81,204409.56,Bahia
Julian Silva,Assistente administrativo sindical,94738.4,17203.74,13270.84,77680.95,125212.98,202893.93,Bahia
Miguel Alves,Assistente de estúdio (cinema e vídeo),95938.4,41234.37,8203.02,56195.13,145375.79,201570.92,Bahia
Diego Azevedo,Atendente de consultório veterinário,146123.2,0,0,51483.6,146123.2,197606.8,Bahia
Fernanda Cavalcanti,Atendente-enfermeiro,98916.36,24326.38,8851.46,63679.91,132094.2,195774.11,Bahia
Bruno Lima,Atleta de taichichuan,109868,0,0,84765.77,109868,194633.77,Bahia
Sophia Pinto,Atleta do basquete,94738.4,20102.24,5453.24,73936.66,120293.88,194230.54,Bahia
Melissa Costa,Auditor financeiro,66564.73,66465.43,3282.89,56574.33,136313.05,192887.38,Bahia
Murilo Oliveira,Auditor fiscal de atividades urbanas,94738.41,20631.93,4583.46,72858.32,119953.8,192812.12,Bahia
Mariana Carvalho,Auxiliar de dobrador (metais),94648.84,9170.58,2701.44,81263.63,106520.86,187784.49,Bahia
Guilherme Almeida,Auxiliar de hipodermia,94738.4,16745.67,3543.46,71033.96,115027.53,186061.49,Bahia
Felipe Cunha,Auxiliar de incubação,94738.4,16883.87,9227.69,65074.08,120849.96,185924.04,Bahia
Arthur Martins,Auxiliar de laboratório fotográfico,109040,6515.64,3697.16,66328.63,119252.8,185581.43,Bahia
Bruno Melo,Auxiliar de manutenção predial,134620.8,0,900,49387.24,135520.8,184908.04,Bahia
Matheus Almeida,Auxiliar de oftalmologia,113665.64,0,4421.6,65899.84,118087.24,183987.08,Bahia
Rebeca Ribeiro,Auxiliar de operador de serra circular múltipla,94738.4,16071.13,5732.76,67088.5,116542.29,183630.79,Bahia
Julieta Cunha,Auxiliar de orientação pedagógica em educação fundamental de primeira a quarta séries,94738.4,13143.42,9227.69,66475.15,117109.51,183584.66,Bahia
Beatriz Gomes,Auxiliar técnico de centro de operação do sistema de energia,123420.8,0,0,57871.17,123420.8,181291.97,Bahia
Tiago Barros,Auxiliares de produção de refinação de sal,94738.41,13191.97,10227.69,62340.74,118158.07,180498.81,Bahia
Kauan Cardoso,Avaliador de imóveis,95938.4,20300.01,7973.57,56162.02,124211.98,180374,Bahia
Isabela Azevedo,Aviador civil,95938.4,11797.04,13270.84,58953.46,121006.28,179959.74,Bahia
Felipe Cavalcanti,Abridor de lã,95371.88,0,8594.21,74625.59,103966.09,178591.68,Bahia
Evelyn Fernandes,Acabador de pedras,113624,0,0,64547.55,113624,178171.55,Bahia
Douglas Pinto,Adegueiro,109029.61,0,4183.2,64422.54,113212.81,177635.35,Bahia
Giovanna Lima,Administrador paroquial,94738.44,73.9,2289.34,78425.44,97101.68,175527.12,Bahia
Eduardo Costa,Adubador,104900.82,0,6616.31,63894.35,111517.13,175411.48,Bahia
Vitór Lima,Advogado previdenciário,117561.6,0,0,56165.94,117561.6,173727.54,Bahia
Kauã Alves,Afiador de ferramentas,104900.82,0,12122.4,56077.59,117023.22,173100.81,Bahia
Larissa Fernandes,Agente de investigação privada,116502.47,0,763.35,54586.21,117265.82,171852.03,Bahia
Marcos Costa,Agente de pesquisa,115222.41,0,0,56292.66,115222.41,171515.07,Bahia
Rebeca Barros,Agricultor polivalente - conta própria,118556,0,0,50533.92,118556,169089.92,Bahia
Guilherme Goncalves,Aguardenteiro (fabricação),87239.2,10371.84,3355.98,67718.02,100967.02,168685.04,Bahia
Gabrielly Azevedo,Ajudante de forneiro,105351.2,0,0,61547.1,105351.2,166898.3,Bahia
Nicolash Silva,Ajudante de guincheiro,112159.2,0,0,54627.47,112159.2,166786.67,Bahia
Sofia Melo,Ajudante de macheiro,109791.22,0,2135.6,54545.16,111926.82,166471.98,Bahia
Luiz Araujo,Ajudante de produção de óleos vegetais - na ind. Alimentar,74408.8,28975.31,3059.14,58987.8,106443.25,165431.05,Bahia
Luis Cavalcanti,Ajudante de tratamento de preparo de xarope,96427.2,0,7061.04,61680.31,103488.24,165168.55,Bahia
Gabriel Santos,Alergologista,107331.2,0,0,56624.24,107331.2,163955.44,Bahia
Nicole Rocha,Alvanel,105211.36,0,0,57915.73,105211.36,163127.09,Bahia
Leonor Oliveira,Analista de contabilidade,108009.43,0,0,53344.51,108009.43,161353.94,Bahia
Alex Rocha,Analista de controle de qualidade,107865.36,0,0,53411.38,107865.36,161276.74,Bahia
Joao Fernandes,Analista de desenvolvimento de sistemas,94738.4,537.48,1175,64510.96,96450.88,160961.84,Bahia
Júlio Rodrigues,Analista de mercado internacional,67371.2,33972.28,5920.89,52664.09,107264.37,159928.46,Bahia
Julian Carvalho,Analista de recursos humanos,70631.68,53070.43,2926.85,32540.56,126628.96,159169.52,Bahia
Eduardo Cunha,Analista de recursos naturais (economista),97309.64,0,1514.24,60331.45,98823.88,159155.33,Bahia
Luiza Rodrigues,Analista de sinistros,91323.2,10081.02,1772.5,55888.32,103176.72,159065.04,Bahia
Kaua Goncalves,Anodizador e anodizador de metais,70729.6,37288.02,2175,47575.57,110192.62,157768.19,Bahia
Erick Alves,Anotador (futebol de salão),90933.6,0,6679.68,59952.03,97613.28,157565.31,Bahia
Carlos Correia,Antiquário comércio varejista,97288.8,0,0,59866.34,97288.8,157155.14,Bahia
Sarah Rodrigues,Apanhador de bacaba,94738.4,3368.61,1175,57528.88,99282.01,156810.89,Bahia
Luiza Rodrigues,Apicultor - empregador,108386.4,0,0,48155.57,108386.4,156541.97,Bahia
Bruna Barros,Aplicador de material isolante em caldeiras e tubulações,87821.6,1797.9,960,65567.46,90579.5,156146.96,Bahia
Giovanna Oliveira,Apontador de mão-de-obra,84916.47,629.85,120,70048.31,85666.32,155714.63,Bahia
Otávio Araujo,Apresentador de rádio e televisão,92024,0,3580,59442.98,95604,155046.98,Bahia
Beatriz Souza,Árbitro de atletismo,86370.9,384.05,1679.6,66323.63,88434.55,154758.18,Bahia
Luis Alves,Árbitro reserva (karatê),116692.8,0,0,37469.43,116692.8,154162.23,Bahia
Paulo Pinto,Artesão do couro,97192.1,4371.64,3753.6,46498.82,105317.34,151816.16,Bahia
Giovana Araujo,Artesão trançador,112580.8,0,2166.4,36947.8,114747.2,151695,Bahia
Marcos Souza,Artista de corda,94738.4,4520.15,1175,51006.64,100433.55,151440.19,Bahia
Cauã Martins,Assentador de canalização (edificações),96368.48,0,0,54403.4,96368.48,150771.88,Bahia
Anna Sousa,Assistente de estúdio (cinema e vídeo),90762.4,0,0,58703.74,90762.4,149466.14,Bahia
Tiago Costa,Assistente trilíngüe,93928.8,0,0,54847.13,93928.8,148775.93,Bahia
Vinicius Araujo,Atendente-enfermeiro,107440.86,0,4052,35313.7,111492.86,146806.56,Bahia
Felipe Barros,Atleta de futsal,96471.84,0,0,50079.02,96471.84,146550.86,Bahia
André Sousa,Atleta profissional de golfe,96427.2,0,3600.96,45787.61,100028.16,145815.77,Bahia
Rebeca Cardoso,Autor de música,96065.6,279.3,5885.6,43137.47,102230.5,145367.97,Bahia
Pedro Dias,Auxiliar administrativo trilíngüe,81113.13,7428.19,8239.61,47995.72,96780.93,144776.65,Bahia
Brenda Lima,Auxiliar de bibliotecário,96427.21,0,5626.8,42475.98,102054.01,144529.99,Bahia
Kauan Almeida,Auxiliar de contas a pagar,59875.2,0,29231.19,55121.81,89106.39,144228.2,Bahia
Sophia Costa,Auxiliar de enfermagem de centro cirúrgico,89064.8,0,4925.4,49435.8,93990.2,143426,Bahia
Brenda Carvalho,Auxiliar de enfermagem em home care,103840.8,0,0,39357.69,103840.8,143198.49,Bahia
Júlia Barbosa,Auxiliar de estúdio em operação de equipamentos de produção para televisão e produtoras de vídeo,99594.44,0,3874.4,39292.26,103468.84,142761.1,Bahia
Júlio Almeida,Auxiliar de produção de gorduras vegetais comestíveis,96427.36,0,0,44192.34,96427.36,140619.7,Bahia
Eduarda Araujo,Auxiliar de serviços bibliotecários,100031.2,1021.44,0,39324.21,101052.64,140376.85,Bahia
Marina Alves,Auxiliar de tráfego de exportação e importação,67371.2,18483.39,3290.81,50920.92,89145.4,140066.32,Bahia
Anna Melo,Auxiliar de vaqueiro,67371.2,23717.6,4145.92,44815.37,95234.72,140050.09,Bahia
Ágatha Barbosa,Auxiliar de vitralista,95924.8,0,0,44061.85,95924.8,139986.65,Bahia
Diego Goncalves,Avaliador de automóveis,72196.81,9686.28,3471,53526.37,85354.09,138880.46,Bahia
Evelyn Fernandes,Avaliador de produtos do meio de comunicação,100276.89,0,0,38304.91,100276.89,138581.8,Bahia
Guilherme Almeida,Abelheiro,94005.81,0,2774.24,41057.37,96780.05,137837.42,Bahia
Aline Cardoso,Administrador (serviço de hospedagem),91058.4,0,5278.8,40587.41,96337.2,136924.61,Bahia
Diego Azevedo,Administrador de carteiras de crédito e cobrança,81466.41,0,0,55351.64,81466.41,136818.05,Bahia
Beatriz Azevedo,Agente de manutenção de veículos ferroviários,66078.85,17386.33,1256.73,49533.58,84721.91,134255.49,Bahia
Gustavo Goncalves,Agricultor na produção de milho e sorgo,100031.24,488.23,375,32386.94,100894.47,133281.41,Bahia
Kauê Silva,Ajudante de açougueiro (comércio),80794.61,1687.96,3939,46361.74,86421.57,132783.31,Bahia
Vitór Gomes,Ajudante de carvoaria,91824,0,3672,37023.18,95496,132519.18,Bahia
