Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Beatrice Silva,Abatedor,257731.88,39310.15,2003.7,71151.58,299045.73,370197.31,Ceará
Felipe Lima,Abatedor de galinha,113080,100056.88,21489.31,111280.07,234626.19,345906.26,Ceará
Raissa Oliveira,Advogado (aeroespacial),94738.4,100839.37,5453.24,74343.95,201031.01,275374.96,Ceará
Leonardo Barros,Advogado (ambientalista),175385.6,0,13491.2,86159.13,188876.8,275035.93,Ceará
Laura Dias,Afinador de piano,175385.6,0,10118.4,77842.17,185504,263346.17,Ceará
Daniel Rocha,Agenciador de publicidade,175385.6,0,10118.4,76342.93,185504,261846.93,Ceará
Felipe Azevedo,Agente de saneamento,94738.4,62810.19,16224.99,79179.71,173773.58,252953.29,Ceará
Ryan Gomes,Agente de serviços de fiscalização de transportes coletivos e licenciamento de veículos,94738.4,67460.2,11171.58,77714.59,173370.18,251084.77,Ceará
Clara Azevedo,Agente fiscal(atividades urbanas),175385.6,0,0,72731.44,175385.6,248117.04,Ceará
Rafaela Pereira,Agente técnico de inteligência,175052.8,0,0,72636.14,175052.8,247688.94,Ceará
Vitor Sousa,Ajudante de manutenção de aeronave,153353.64,0,5965.6,77741.05,159319.24,237060.29,Ceará
Luís Santos,Amolador de ferramentas,158724.83,0,0,67958.06,158724.83,226682.89,Ceará
Rafael Melo,Analista de contas a pagar,158724.8,0,6104.8,60256.9,164829.6,225086.5,Ceará
Emilly Costa,Analista de desenvolvimento de sistemas,97504.56,31518.43,9227.69,86002.63,138250.68,224253.31,Ceará
Thiago Fernandes,Analista de turismo (turismólogo),120518.83,0,0,98667.92,120518.83,219186.75,Ceará
Carlos Cavalcanti,Artista de cinema,140996.8,0,0,63678.75,140996.8,204675.55,Ceará
Rodrigo Castro,Assistente de engenharia (construção civil),113080,4546.91,11319.64,72728.52,128946.55,201675.07,Ceará
Julian Barros,Assistente de operações de equipamentos de produção para televisão e produtoras de vídeo,94738.4,28106.19,13949.22,64171.68,136793.81,200965.49,Ceará
Luan Araujo,Atendente de clínica médica,124092.8,0,9545.6,64006.85,133638.4,197645.25,Ceará
Leonardo Rodrigues,Autor-roteirista de cinema,147426.32,0,0,44837.1,147426.32,192263.42,Ceará
Diogo Sousa,Auxiliar de confeiteiro,94738.41,10373,3543.47,81580.43,108654.88,190235.31,Ceará
