Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Kauan Alves,Abatedor de aves,213948.8,0,16376.17,124675.03,230324.97,355000,Distrito Federal
Felipe Pinto,Administrador de sistemas computacionais,113080,46793.84,20770.63,100372.53,180644.47,281017,Distrito Federal
Murilo Oliveira,Afiador de facas ( inclusive ambulante),99654.49,86080.77,5732.76,75364.74,191468.02,266832.76,Distrito Federal
João Cavalcanti,Afinador de motores a diesel,109451.12,50280.31,11300.04,92965.83,171031.47,263997.3,Distrito Federal
Ágatha Souza,Agente de estação portuária,175052.8,0,0,83542.84,175052.8,258595.64,Distrito Federal
Yasmin Silva,Aguardenteiro (fabricação),158724.81,0,6104.8,79308.83,164829.61,244138.44,Distrito Federal
Alice Martins,Ajudante de fabricação - na indústria de bebidas,94738.4,68386.86,3991.36,72517.18,167116.62,239633.8,Distrito Federal
Otávio Dias,Ajudante de macheiro,112716.47,26474.2,11150.36,86896.43,150341.03,237237.46,Distrito Federal
Sarah Correia,Ajudante de serralheiro,158724.87,0,0,76281.74,158724.87,235006.61,Distrito Federal
Arthur Costa,Alergista e imunologista,158724.82,0,3662.88,69068.28,162387.7,231455.98,Distrito Federal
Luan Ribeiro,Alimentador de linha de produção,113080,33931.29,10786.83,72545.74,157798.12,230343.86,Distrito Federal
Rodrigo Cunha,Amaciador de couros e peles,94738.4,52497.2,7216.24,73518,154451.84,227969.84,Distrito Federal
Emilly Cunha,Analista de estudos econômicos,91887.74,25844.85,18065.41,87311.69,135798,223109.69,Distrito Federal
Gabriela Pereira,Analista de folha de pagamento,113080,13761.9,10786.83,85099.42,137628.73,222728.15,Distrito Federal
Kauã Cunha,Analista de projetos viários,158724.86,0,0,62031.3,158724.86,220756.16,Distrito Federal
Maria Fernandes,Analista de suporte de banco de dados,143872.02,0,8718.08,67400.6,152590.1,219990.7,Distrito Federal
Julian Azevedo,Anotador de pessoal,137060.01,0,6879.2,73286.11,143939.21,217225.32,Distrito Federal
Larissa Azevedo,Apanhador de algodão,91657.6,38292.24,5686.22,80874.7,135636.06,216510.76,Distrito Federal
Gustavo Castro,Apanhador de buriti,134620.8,0,7701.6,73860.42,142322.4,216182.82,Distrito Federal
Otávio Araujo,Arrendatário - na agropecuária,94738.4,28286.67,9227.69,74625.6,132252.76,206878.36,Distrito Federal
Camila Almeida,Atendente de bar,98784,0,8351.2,91219.29,107135.2,198354.49,Distrito Federal
Maria Silva,Atendente hospitalar,144792.82,0,0,51097.34,144792.82,195890.16,Distrito Federal
Júlio Rocha,Auditor-fiscal da previdência social,124874.43,0,0,67833.08,124874.43,192707.51,Distrito Federal
Diogo Azevedo,Auditor-fiscal do trabalho,94738.4,19174.65,9227.69,69311.13,123140.74,192451.87,Distrito Federal
Tiago Santos,Auxiliar de contas a pagar,94738.4,1212.96,9227.69,84813.17,105179.05,189992.22,Distrito Federal
Estevan Melo,Auxiliar de enfermagem socorrista,129480.81,0,7555.2,49916.08,137036.01,186952.09,Distrito Federal
Yasmin Goncalves,Auxiliar de salsicheiro,94738.4,24883.57,3547.02,59592.02,123168.99,182761.01,Distrito Federal
Aline Carvalho,Auxiliar de vaqueiro,94738.4,3222.08,9227.69,74625.6,107188.17,181813.77,Distrito Federal
Caio Araujo,Auxiliar-ajudante de operador de máquinas de lavar fibras,94738.43,14839.92,9227.69,61716.75,118806.04,180522.79,Distrito Federal
Bianca Barbosa,Avaliador de propriedade,87063.21,10765.93,4490.06,77691.04,102319.2,180010.24,Distrito Federal
Martim Rocha,Avícola - empregador,91499.22,2463.44,10306.38,75676.69,104269.04,179945.73,Distrito Federal
Diego Carvalho,Avicultor - empregador,113624,0,8710.4,57531.26,122334.4,179865.66,Distrito Federal
Tomás Rodrigues,Avicultor comercial,124268.72,14456.28,30657.77,10260.37,169382.77,179643.14,Distrito Federal
Otávio Martins,Administrador de fundos e carteiras de investimento,94738.4,14695.06,4343.46,62537.64,113776.92,176314.56,Distrito Federal
Vitoria Oliveira,Afiador de brocas e coroas,115368,0,6600,51462.26,121968,173430.26,Distrito Federal
Beatriz Castro,Agente administrativo,124153.61,0,2414.8,45887.81,126568.41,172456.22,Distrito Federal
Paulo Almeida,Agente de contrrole de dengue,83895.21,34139.47,1175,53016.49,119209.68,172226.17,Distrito Federal
Isabela Pinto,Agente de proteção de aviação civil,120204.81,0,0,51032.63,120204.81,171237.44,Distrito Federal
Tiago Souza,Agente de proteção social,106074.42,14247.47,0,50852.87,120321.89,171174.76,Distrito Federal
Diogo Silva,Agente de reserva de passagens aéreas,90762.4,0,0,80296.54,90762.4,171058.94,Distrito Federal
Clara Castro,Agente fiscal têxtil,107386.41,0,0,62787.45,107386.41,170173.86,Distrito Federal
Alice Gomes,Ajudante de engarrafamento,111633.66,0,4293.6,51698.18,115927.26,167625.44,Distrito Federal
Nicolas Santos,Ajudante de lapidador (vidros),112634.46,0,0,54149.8,112634.46,166784.26,Distrito Federal
Rodrigo Costa,Ajuntador de buriti,79206.4,5522.09,8865.03,71409.9,93593.52,165003.42,Distrito Federal
Alex Costa,Ajustador de oficina de cilindros,79478.56,20864.32,2405.03,61892.11,102747.91,164640.02,Distrito Federal
Isabela Alves,Ampoleiro (jarras e garrafas térmicas),87063.2,18378.56,2213.1,54659.72,107654.86,162314.58,Distrito Federal
Beatriz Dias,Analista de inteligência de mercado,111633.7,0,0,48818.22,111633.7,160451.92,Distrito Federal
Amanda Sousa,Apontador de produção,108068.01,0,0,47528.35,108068.01,155596.36,Distrito Federal
Douglas Barros,Árbitro chefe de área (karatê),79311.84,29678.58,4671.55,41110.58,113661.97,154772.55,Distrito Federal
Eduarda Oliveira,Árbitro de futebol,109791.23,0,0,44857.68,109791.23,154648.91,Distrito Federal
João Barros,Árbitro de futebol de salão,102801.7,0,0,51813.12,102801.7,154614.82,Distrito Federal
Murilo Araujo,Árbitro de vôlei,107331.24,0,0,47123.85,107331.24,154455.09,Distrito Federal
Gabrielle Barbosa,Armador de ferragens na construção civil,87821.6,0,0,66202.98,87821.6,154024.58,Distrito Federal
Júlia Silva,Arreador em matadouro,105133.63,0,1040,46833.8,106173.63,153007.43,Distrito Federal
Tomás Barros,Arrendatário na agropecuária,101668.02,4235.76,0,46680.88,105903.78,152584.66,Distrito Federal
Sofia Dias,Arrozeiro - na cultura - conta própria,93405.85,0,0,58776.3,93405.85,152182.15,Distrito Federal
Renan Lima,Artista aéreo,100276.8,0,0,51209.1,100276.8,151485.9,Distrito Federal
Samuel Martins,Atendente de buffet,91729.61,3164.71,0,53428.93,94894.32,148323.25,Distrito Federal
Otávio Cavalcanti,Atendente de clínica dentária,75775.4,11777.26,1591.74,59039.85,89144.4,148184.25,Distrito Federal
Thiago Pereira,Atendente de clínica veterinária,97755.58,0,0,50408.9,97755.58,148164.48,Distrito Federal
Letícia Dias,Atleta de canoagem,87821.6,503.88,3359.2,54984.78,91684.68,146669.46,Distrito Federal
Bianca Silva,Ator de teatro,96907.28,8403.66,0,40429.78,105310.94,145740.72,Distrito Federal
Bruno Souza,Auditor-fiscal da previdência social,99732.03,0,5901.4,39825.85,105633.43,145459.28,Distrito Federal
Isabela Correia,Auxiliar administrativo bilíngüe,87821.6,380.93,0,56651.46,88202.53,144853.99,Distrito Federal
