Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Nicolas Ribeiro,Acabador de macho - na fundição,184164.62,6559.42,11955.39,134385.38,202679.43,337064.81,Espírito Santo
Luiz Ribeiro,Açaizeiro,96064.92,150883.59,6915.29,74188.69,253863.8,328052.49,Espírito Santo
Fernanda Costa,Advogado da união,175052.8,0,10099.2,84955.22,185152,270107.22,Espírito Santo
Pedro Oliveira,Agricultor polivalente - empregador,158724.85,0,7184.8,79471.59,165909.65,245381.24,Espírito Santo
Bianca Ferreira,Ajudante de derrubada,113080,35171.45,9289.95,84346.07,157541.4,241887.47,Espírito Santo
Estevan Santos,Ajudante de lubrificação (indústria),94738.4,52380.71,13484.75,77146.48,160603.86,237750.34,Espírito Santo
Tiago Sousa,Ajustador de máquinas de embalagem,158724.8,0,6104.8,68991.94,164829.6,233821.54,Espírito Santo
Clara Ribeiro,Alcatroeiro,139727.98,1166.34,9156.44,81671.1,150050.76,231721.86,Espírito Santo
Victor Ferreira,Alfarrabista,95096.72,53075.47,8242.32,74621.18,156414.51,231035.69,Espírito Santo
Júlia Gomes,Alinhador de pneus,94738.4,56092.55,5911.92,72901.3,156742.87,229644.17,Espírito Santo
Luis Cunha,Amolador de cutelaria,94738.4,48387.58,9227.69,74625.6,152353.67,226979.27,Espírito Santo
Murilo Cardoso,Analista de cobrança,147797.6,0,10005.4,67805.33,157803,225608.33,Espírito Santo
Bruno Melo,Analista de crédito rural,157414.43,0,0,66956.85,157414.43,224371.28,Espírito Santo
Antônio Dias,Analista de informações (pesquisador de informações de rede),94738.43,34268.91,9227.69,84319.91,138235.03,222554.94,Espírito Santo
Evelyn Cardoso,Analista de leasing,94738.4,42102.86,3849.37,81379.51,140690.63,222070.14,Espírito Santo
Eduarda Sousa,Aplicador de sinteco e bona,140996.8,0,8227.2,65187.53,149224,214411.53,Espírito Santo
Júlio Lima,Apontador de mão-de-obra,91657.61,41853.27,7971.7,72457.66,141482.58,213940.24,Espírito Santo
Diego Sousa,Árbitro de poló aquático,136680,0,2109.12,71795.48,138789.12,210584.6,Espírito Santo
Gabrielly Ferreira,Armador de estrutura de concreto,120518.83,0,0,89167.52,120518.83,209686.35,Espírito Santo
Otávio Cardoso,Arreeiro na fabricação,120518.83,0,0,87002.9,120518.83,207521.73,Espírito Santo
Marcos Pereira,Assistente de contas de seguros,94738.4,39251.67,2429.12,65858.12,136419.19,202277.31,Espírito Santo
Cauã Gomes,Assistente técnico de engenharia de obras de saneamento,134620.8,0,3142.08,62016.56,137762.88,199779.44,Espírito Santo
Miguel Almeida,Atendente de peixaria,94738.42,8749.95,9227.69,84229.73,112716.06,196945.79,Espírito Santo
José Carvalho,Ator dublador,94738.41,10098.53,5911.92,82401.7,110748.86,193150.56,Espírito Santo
Livia Fernandes,Autoridade policial (delegado),83895.2,47339.68,2186.7,58351.21,133421.58,191772.79,Espírito Santo
Vinícius Santos,Auxiliar de laboratório de análises clínicas,94738.4,8090.36,2289.34,80538.75,105118.1,185656.85,Espírito Santo
Arthur Cardoso,Auxiliar de montagem de transformadores,94738.4,18196.04,1175,70437.76,114109.44,184547.2,Espírito Santo
Joao Ferreira,Auxiliar de seguros,131908.36,0,0,50768.58,131908.36,182676.94,Espírito Santo
Luiza Rodrigues,Auxiliar técnico de educação,94738.4,23795.59,5911.92,56711.77,124445.91,181157.68,Espírito Santo
Gustavo Oliveira,Avaliador de bens móveis,94738.4,6767.88,10096.23,68839.82,111602.51,180442.33,Espírito Santo
Vitória Barros,Abastecedor de combustível de aeronave,95297.36,8790.08,3543.46,71345.08,107630.9,178975.98,Espírito Santo
Letícia Martins,Adeleiro (comércio atacadista),94559.26,11952.09,8905.21,62209.61,115416.56,177626.17,Espírito Santo
João Alves,Administrador de materiais,94738.4,17689.73,2289.34,61486.83,114717.47,176204.3,Espírito Santo
Ana Silva,Agente de inteligência,115533.2,0,0,56391.18,115533.2,171924.38,Espírito Santo
Gabrielle Rodrigues,Agente de reserva de passagens rodoviárias,94738.4,1942.76,6859.23,67467.11,103540.39,171007.5,Espírito Santo
Daniel Costa,Agente educacional,65842.41,40155.7,0,64288.03,105998.11,170286.14,Espírito Santo
Carlos Cunha,Ajustador de válvulas,94738.4,1785.68,7431.92,60593.49,103956,164549.49,Espírito Santo
Martim Castro,Alfaite modelista,94738.4,663.77,3038.2,65448.71,98440.37,163889.08,Espírito Santo
Yasmin Gomes,Alimentador de peixe,114074.73,0,0,49249.53,114074.73,163324.26,Espírito Santo
Beatriz Cunha,Amolador de cilindros,93150.09,9851.35,11839.91,47889.34,114841.35,162730.69,Espírito Santo
Bianca Costa,Amolador de talhadeira,112221.6,0,6548.4,43721.31,118770,162491.31,Espírito Santo
Luana Azevedo,Analista de crédito (instituições financeiras),94738.4,4310.46,1175,60886.24,100223.86,161110.1,Espírito Santo
Gabrielly Cavalcanti,Analista de fundos de investimento,122402.41,0,0,38140.66,122402.41,160543.07,Espírito Santo
Leila Araujo,Analista de mercado de trabalho (economista),87239.2,17930.4,1175,53673.75,106344.6,160018.35,Espírito Santo
Caio Martins,Analista de turismo (turismólogo),105908.04,0,0,52836.01,105908.04,158744.05,Espírito Santo
Luan Melo,Aprendiz de mecânico ajustador,87821.62,1407.78,0,66202.98,89229.4,155432.38,Espírito Santo
Sofia Alves,Aromista,102356.01,0,0,51181.13,102356.01,153537.14,Espírito Santo
Vitória Pereira,Assessor bilíngüe,82371.2,3218.18,1605.2,63567.51,87194.58,150762.09,Espírito Santo
Joao Pinto,Assistente de engenharia (construção civil),91058.43,0,7709.76,50800.42,98768.19,149568.61,Espírito Santo
Rafael Araujo,Auditor (contadores e afins),95827.01,0,0,49828.58,95827.01,145655.59,Espírito Santo
Rafael Dias,Auditor de contabilidade e orçamento,103854.46,0,0,41745.82,103854.46,145600.28,Espírito Santo
Beatrice Cunha,Auxiliar de almoxarifado,67371.2,12251.56,0,65057.5,79622.76,144680.26,Espírito Santo
Fábio Fernandes,Auxiliar de barman,109580.02,0,0,34971.27,109580.02,144551.29,Espírito Santo
Tânia Silva,Auxiliar de churrasqueiro,87821.6,0,0,56651.46,87821.6,144473.06,Espírito Santo
Davi Cardoso,Auxiliar de confeitaria,88372.73,0,0,56059.17,88372.73,144431.9,Espírito Santo
Paulo Carvalho,Auxiliar de desenvolvimento infantil,94308.8,0,0,49511.9,94308.8,143820.7,Espírito Santo
Clara Sousa,Auxiliar de linha de produção,70729.6,25524.29,1175,44316.64,97428.89,141745.53,Espírito Santo
Thaís Pereira,Auxiliar de prótese dentária,96676.91,0,2581.04,41359.65,99257.95,140617.6,Espírito Santo
Julia Souza,Auxiliar de vidraceiro,76295.35,0,1679.6,62034.58,77974.95,140009.53,Espírito Santo
Ryan Goncalves,Auxiliar técnico de manipulação em laboratório de farmácia,98524.8,0,600,40242.57,99124.8,139367.37,Espírito Santo
Matilde Lima,Axogum,93933.6,0,5456.4,38890.71,99390,138280.71,Espírito Santo
Davi Almeida,Abastecedor de linha de produção,105040.81,0,0,33106.72,105040.81,138147.53,Espírito Santo
Daniel Sousa,Administrador de recursos humanos,81660.8,10700.86,0,43993.88,92361.66,136355.54,Espírito Santo
Thaís Barros,Administrador de redes,100017.72,0,0,36277.76,100017.72,136295.48,Espírito Santo
Julieta Goncalves,Advogado (agente de propriedade industrial),88214.4,0,0,47779.11,88214.4,135993.51,Espírito Santo
Larissa Cunha,Agente de organização escolar,67345.31,24203.96,0,42632.45,91549.27,134181.72,Espírito Santo
Rafael Pinto,Agente operacional de estação,84049.62,0,2265.1,47212.07,86314.72,133526.79,Espírito Santo
Lucas Oliveira,Ajudante de evaporador na destilação,76125.63,0,2073.12,53794.75,78198.75,131993.5,Espírito Santo
Lucas Cavalcanti,Ajudante de fabricação - na indústria de bebidas,74614.39,473.7,0,56788.86,75088.09,131876.95,Espírito Santo
Carla Oliveira,Ajustador mecânico,97380.8,0,1040,31939.4,98420.8,130360.2,Espírito Santo
Kauan Rocha,Alergista,76250.4,0,0,53837.38,76250.4,130087.78,Espírito Santo
Gabriel Sousa,Alfaite modelista,77636.8,3213.6,0,49143.23,80850.4,129993.63,Espírito Santo
Thiago Martins,Alinhador de pneus,67371.2,19672.96,0,42648.22,87044.16,129692.38,Espírito Santo
Vinícius Ribeiro,Analista de câmbio,87445.61,0,5002.8,36032.75,92448.41,128481.16,Espírito Santo
Matheus Lima,Aplicador de inseticida,84049.61,0,5635.04,35307.29,89684.65,124991.94,Espírito Santo
Marcos Azevedo,Arcebispo,54787.2,42573.47,3389.36,22762.33,100750.03,123512.36,Espírito Santo
Giovana Silva,Arquivista de documentos,78163.68,3656.99,0,40975.62,81820.67,122796.29,Espírito Santo
Sofia Costa,Arrozeiro (comércio),81777.44,1327,2198.56,36867.09,85303,122170.09,Espírito Santo
Alice Martins,Ascensorista,81854.6,0,4995.2,34541,86849.8,121390.8,Espírito Santo
Cauã Gomes,Atendente de agência,76250.41,0,4449.6,39652.06,80700.01,120352.07,Espírito Santo
Kaua Souza,Atleta de taichichuan,79311.82,0,0,39935.06,79311.82,119246.88,Espírito Santo
Tomás Ribeiro,Auditor de atividades urbanas,85674.4,0,1554,31467.43,87228.4,118695.83,Espírito Santo
Giovana Melo,Auxiliar de cozinha,70349.62,0,4081.2,43146.44,74430.82,117577.26,Espírito Santo
Matheus Barbosa,Auxiliar de doceiro,71531.21,5332.61,437.62,40092.7,77301.44,117394.14,Espírito Santo
Julieta Ribeiro,Auxiliar de produção de fumo,67964.02,1196.55,0,46523.94,69160.57,115684.51,Espírito Santo
Felipe Dias,Auxiliar de vidraceiro,76250.42,0,0,39015.74,76250.42,115266.16,Espírito Santo
Leonardo Martins,Acepilhador de metais,71193.6,0,4100,38105.59,75293.6,113399.19,Espírito Santo
Júlio Ferreira,Açougueiro retalhista,65749.6,9169.93,1587.5,36850.18,76507.03,113357.21,Espírito Santo
Joao Cavalcanti,Administrador de carteiras de crédito e cobrança,66532.01,0,3856.8,42690.68,70388.81,113079.49,Espírito Santo
Leila Azevedo,Administrador de marketing,55710.8,7680.46,2759.62,46843.66,66150.88,112994.54,Espírito Santo
Luana Cardoso,Agente de higiene e segurança,89553,0,34.44,21682.03,89587.44,111269.47,Espírito Santo
Diogo Rocha,Ajudante de serrador,54787.2,23902.8,1694.8,28098.99,80384.8,108483.79,Espírito Santo
Martim Cunha,Ajudante de sushiman,65908.01,0,5071.44,37472.81,70979.45,108452.26,Espírito Santo
Kauã Martins,Alinhador de pneus,71306.3,0,0,36551.87,71306.3,107858.17,Espírito Santo
Vitoria Azevedo,Analista de contas,80013.84,0,0,27206.36,80013.84,107220.2,Espírito Santo
Bruna Barros,Analista de planejamento e orçamento - apo,79969.6,0,0,26453.54,79969.6,106423.14,Espírito Santo
Kauan Gomes,Analista de suporte de banco de dados,79311.89,0,0,26841.38,79311.89,106153.27,Espírito Santo
Giovanna Pereira,Anotador de processo de produção,73551.07,225,69.86,31493.77,73845.93,105339.7,Espírito Santo
Igor Fernandes,Aplicador de sinteco e bona,66636.83,11236.44,0,26957.19,77873.27,104830.46,Espírito Santo
Gabrielle Ribeiro,Aprendiz de mecânico ajustador,76611.77,1988.2,0,25936.92,78599.97,104536.89,Espírito Santo
Martim Castro,Artesão confeccionador de biojóias e ecojóias,54787.2,22546.81,3389.36,21598.65,80723.37,102322.02,Espírito Santo
Laura Almeida,Assessor bilíngüe,64229.36,2061.16,2222.12,33338.73,68512.64,101851.37,Espírito Santo
José Pereira,Assistente de vendas,68650.4,0,0,32037.87,68650.4,100688.27,Espírito Santo
Luís Carvalho,Atirador de facas,72225.88,0,2157.7,25096.49,74383.58,99480.07,Espírito Santo
Vitór Rodrigues,Auxiliar contábil,63117.6,0,0,35204.31,63117.6,98321.91,Espírito Santo
Rodrigo Cunha,Auxiliar de contas a pagar,77045.2,0,585,20253.56,77630.2,97883.76,Espírito Santo
Murilo Pinto,Auxiliar de costura,54787.2,8521.51,650,33804.63,63958.71,97763.34,Espírito Santo
Leonardo Cunha,Auxiliar de desossador,57126.11,3405.56,2171.13,34818.61,62702.8,97521.41,Espírito Santo
Thiago Santos,Auxiliar de estatística,54787.2,13876.5,650,27877.83,69313.7,97191.53,Espírito Santo
Rafael Ferreira,Auxiliar de inventário,65838.85,0,0,31072.66,65838.85,96911.51,Espírito Santo
Matilde Cardoso,Auxiliar de orientação pedagógica em educação fundamental de primeira a quarta séries,54741.91,3646.42,3387.09,34478.21,61775.42,96253.63,Espírito Santo
Guilherme Santos,Auxiliar de serviços jurídicos,60056.3,0,0,35782,60056.3,95838.3,Espírito Santo
Emilly Almeida,Acupunturista,56430.46,1916.74,5.43,36111.68,58352.63,94464.31,Espírito Santo
Kai Melo,Administrador de instituições culturais,51917.31,10048.04,0,32270.94,61965.35,94236.29,Espírito Santo
Erick Cardoso,Agonjaí,57286.17,887.5,360,33739.78,58533.67,92273.45,Espírito Santo
Beatriz Lima,Ajudante de ensacador,56201.6,11283.53,1999.58,22329.98,69484.71,91814.69,Espírito Santo
Douglas Cardoso,Ajudante de polidor de veículos,53137.92,10775.75,0,27303.66,63913.67,91217.33,Espírito Santo
Laura Carvalho,Ajudante de saneamento,61652.37,0,0,29477.36,61652.37,91129.73,Espírito Santo
Tiago Cardoso,Analista de turismo (turismólogo),60056.3,0,2290.5,26508.47,62346.8,88855.27,Espírito Santo
Martim Carvalho,Antiquário (comércio atacadista),54204.8,810.08,0,33493.32,55014.88,88508.2,Espírito Santo
Brenda Pinto,Aplicador de isolante térmico,54204.8,0,421.76,33608.51,54626.56,88235.07,Espírito Santo
Danilo Cavalcanti,Apresentador de convenções,60056.34,0,0,27915.37,60056.34,87971.71,Espírito Santo
Carolina Goncalves,Aromista,66538.16,0,0,20710.05,66538.16,87248.21,Espírito Santo
Giovana Santos,Artesão crocheteiro,56864.77,220.92,1040,28515.77,58125.69,86641.46,Espírito Santo
Tomás Ferreira,Artífice do couro,54523.86,1313.42,0,30583.3,55837.28,86420.58,Espírito Santo
Carolina Rodrigues,Artista plástico,57084.23,1013.94,0,28170.43,58098.17,86268.6,Espírito Santo
Rebeca Dias,Assistente de diretoria,63482.31,0,0,22361.68,63482.31,85843.99,Espírito Santo
Samuel Rocha,Atendente de cafeteria,57126.13,6083.92,777.8,21361.65,63987.85,85349.5,Espírito Santo
Joao Martins,Atleta de peteca,59565.08,0,892.56,24319.77,60457.64,84777.41,Espírito Santo
Camila Costa,Atleta de pólo aquático,58418.86,0,0,26358.41,58418.86,84777.27,Espírito Santo
Mariana Alves,Autor-roteirista multimídia,50385.95,0,950.63,32785.71,51336.58,84122.29,Espírito Santo
Pedro Goncalves,Auxiliar de bibliotecário,52687.67,2472.42,1640,27183.42,56800.09,83983.51,Espírito Santo
Letícia Pereira,Auxiliar de compras,61760.55,147.77,0,21960.77,61908.32,83869.09,Espírito Santo
Eduardo Fernandes,Auxiliar de eletrotécnico,55289.53,402.75,0,27783.88,55692.28,83476.16,Espírito Santo
Larissa Cunha,Auxiliar de estúdio em operação de equipamentos de produção para televisão e produtoras de vídeo,48948.18,294.19,1479.14,32524.2,50721.51,83245.71,Espírito Santo
Isabela Lima,Auxiliar de fermentação,46466.37,18112.76,0,18599.01,64579.13,83178.14,Espírito Santo
Vitoria Cavalcanti,Auxiliar de ginecologia,54787.2,3359.27,3389.36,21598.65,61535.83,83134.48,Espírito Santo
Rafaela Pinto,Auxiliar de mecânico diesel (exceto de veículos automotores),57126.1,0,3302.25,22218.63,60428.35,82646.98,Espírito Santo
Enzo Araujo,Auxiliar de serviços gerais - na confecção de roupas,60056.32,0,0,22085.68,60056.32,82142,Espírito Santo
Ryan Cardoso,Auxiliar técnico de manipulação em laboratório de farmácia,49775.33,0,1040,31142.01,50815.33,81957.34,Espírito Santo
Mateus Cavalcanti,Avícola - empregador,53858.37,868.98,0,27024,54727.35,81751.35,Espírito Santo
Fábio Oliveira,Acrobata,41577.9,5471.02,525,33746.13,47573.92,81320.05,Espírito Santo
Larissa Pinto,Adeleiro (comércio varejista),53115.15,0,1040,27135.68,54155.15,81290.83,Espírito Santo
Emilly Dias,Administrador,49086.93,0,0,32181.53,49086.93,81268.46,Espírito Santo
Alex Martins,Advogado (direito do trabalho),51538.61,2415.23,0,26882.46,53953.84,80836.3,Espírito Santo
Alice Silva,Advogado tributarista,49086.94,0,0,31546.01,49086.94,80632.95,Espírito Santo
Breno Silva,Agente administrativo supervisor,44730.93,960.72,1577.71,33083.42,47269.36,80352.78,Espírito Santo
Sarah Sousa,Agente de pesquisa,47925.82,255.89,0,31782.18,48181.71,79963.89,Espírito Santo
Gabrielly Rocha,Agente fiscal(atividades urbanas),46425.3,0,1404.59,31839.42,47829.89,79669.31,Espírito Santo
Rodrigo Dias,Agricultor na produção de gramíneas forrageiras,52608.21,0,0,26907.08,52608.21,79515.29,Espírito Santo
Luís Souza,Ajudante de marteleteiro,55987.2,3845.1,3389.36,15541.86,63221.66,78763.52,Espírito Santo
Leonardo Silva,Ajudante de mineiro,46466.37,0,0,32295.33,46466.37,78761.7,Espírito Santo
Fernanda Dias,Ambientador,47166.56,0,0,30731.31,47166.56,77897.87,Espírito Santo
Beatriz Silva,Analista contábil,35433.87,14167.67,0,28057.14,49601.54,77658.68,Espírito Santo
Leonor Correia,Aplicador de sinteco e bona,49775.33,0,0,25957.23,49775.33,75732.56,Espírito Santo
André Gomes,Apresentador animador de festas populares,43937.93,0,982.94,30702.54,44920.87,75623.41,Espírito Santo
Fernanda Alves,Apresentador animador de programas de rádio,43631.69,0,864.59,31109.33,44496.28,75605.61,Espírito Santo
Vitória Pereira,Árbitro econômico,57406.41,211.5,0,17615.39,57617.91,75233.3,Espírito Santo
Raissa Sousa,Arrematador de fogos,54156.8,0,0,20571.98,54156.8,74728.78,Espírito Santo
Sophia Castro,Arrumador de hotel,46819.57,737.31,1040,25952.67,48596.88,74549.55,Espírito Santo
