Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Leila Carvalho,Açougueiro retalhista,213394.06,204.64,11265.22,87417.39,224863.92,312281.31,Goiás
Laura Araujo,Acupuntor,230265.96,0,0,79103.03,230265.96,309368.99,Goiás
Luana Carvalho,Adestrador de animais de trabalho ( asininos e muares),225367.22,0,900,78749.67,226267.22,305016.89,Goiás
Matilde Goncalves,Administrador de pessoal,113080,67965.55,10786.83,95122.12,191832.38,286954.5,Goiás
Júlia Souza,Administrador hospitalar,112878.01,64343.3,12989.07,86893.58,190210.38,277103.96,Goiás
Ana Carvalho,Advogado (direito internacional),113080,59521.75,15612.91,84147.49,188214.66,272362.15,Goiás
Diego Cardoso,Advogado previdenciário,113080,44930.77,16651.17,95099.57,174661.94,269761.51,Goiás
Victor Cunha,Agente de fiscalização ambiental,163488,0,12238.02,82465.28,175726.02,258191.3,Goiás
Eduardo Melo,Agricultor familiar polivalente,176052.8,0,10099.2,60357.21,186152,246509.21,Goiás
Estevan Carvalho,Ajudante de carga e descarga de mercadoria,154848,0,9036,79099.87,163884,242983.87,Goiás
Daniel Melo,Ajudante de motorista,99475.32,37536.22,11504.76,87927.83,148516.3,236444.13,Goiás
Amanda Cunha,Ajudante de obras,113080,15349.12,12596.61,95386.9,141025.73,236412.63,Goiás
Emilly Cunha,Ajudante de pintor,158724.81,0,0,77458.45,158724.81,236183.26,Goiás
Tânia Castro,Alinhador de rodas,94738.41,56140.69,10037.92,68688.63,160917.02,229605.65,Goiás
Vinícius Santos,Amolador de guarnição - na fabricação têxtil,158724.82,0,0,67958.06,158724.82,226682.88,Goiás
Miguel Pinto,Ampoleiro (jarras e garrafas térmicas),158724.8,0,0,67958.04,158724.8,226682.84,Goiás
Livia Fernandes,Analisador de tráfego telefônico,94738.4,60051.75,1175,70437.76,155965.15,226402.91,Goiás
Eduarda Ribeiro,Analista de seguros (técnico),113080,15895.81,10786.83,80766.26,139762.64,220528.9,Goiás
Matheus Ferreira,Analista de tratamento de água,120518.83,0,0,98667.92,120518.83,219186.75,Goiás
Felipe Fernandes,Analista kirlian,94738.4,32943.73,8113.35,82889.92,135795.48,218685.4,Goiás
Bianca Araujo,Ancião,94738.4,23152.75,13115.46,87312.75,131006.61,218319.36,Goiás
Luiz Fernandes,Árbitro de futebol,159324.82,0,0,51928.56,159324.82,211253.38,Goiás
José Ferreira,Árbitro lateral (judô),94738.4,39193.88,5911.92,70431.8,139844.2,210276,Goiás
Diego Cardoso,Árbitro reserva (basquete),145622.08,0,0,64422.01,145622.08,210044.09,Goiás
Paulo Oliveira,Armador de ferragens na construção civil,120518.83,0,0,89167.52,120518.83,209686.35,Goiás
Danilo Cavalcanti,Aromista,95652.14,24535.07,12201.75,76582.4,132388.96,208971.36,Goiás
Davi Melo,Arraçoador de peixe,94738.41,26067.35,5216.76,82022.01,126022.52,208044.53,Goiás
Gustavo Cavalcanti,Arreador,94738.4,34215.07,5911.92,72901.3,134865.39,207766.69,Goiás
Yasmin Silva,Arrolhador,97504.56,14256.69,8600.64,86182.15,120361.89,206544.04,Goiás
Amanda Rocha,Arrozeiro (comércio),99475.32,23983.88,6955.28,75724.76,130414.48,206139.24,Goiás
Vinicius Ribeiro,Arte educador,113080,2868,10786.83,79048.84,126734.83,205783.67,Goiás
Eduardo Barros,Arte-finalista,134620.8,0,7855.2,63256.59,142476,205732.59,Goiás
Vinicius Dias,Arte-finalista (desenhista técnico de artes gráficas),127566.4,0,7359.6,70763.02,134926,205689.02,Goiás
Rebeca Lima,Artesão (artista visual),134620.8,0,7752.8,63290.84,142373.6,205664.44,Goiás
Eduardo Barros,Artesão crocheteiro,113261.76,0,14452.55,77783.83,127714.31,205498.14,Goiás
Luiza Almeida,Artífice de serra,146332.8,0,0,58493.74,146332.8,204826.54,Goiás
Fernanda Costa,Ascensorista,94738.4,25987.32,7289.63,76120.4,128015.35,204135.75,Goiás
Arthur Dias,Asperador de couro no acabamento de calçados,94738.43,37290.15,2175,69802.24,134203.58,204005.82,Goiás
Carlos Pereira,Assistente de contabilidade industrial,94917.57,28405.08,5732.76,73316.13,129055.41,202371.54,Goiás
Evelyn Pereira,Assistente trilíngüe,94738.4,11263.82,9227.69,84126,115229.91,199355.91,Goiás
Sofia Santos,Astrólogo,94738.4,17584.45,9227.69,77623.81,121550.54,199174.35,Goiás
Davi Cunha,Atendente de consultório médico,141371.3,0,8086.8,48165.67,149458.1,197623.77,Goiás
Rodrigo Barbosa,Atendente de telemarketing,110913.86,0,0,85373.57,110913.86,196287.43,Goiás
Raissa Dias,Atleta de judô,94738.4,27109.13,3543.46,69693.88,125390.99,195084.87,Goiás
Nicolas Rocha,Auxiliar de banco de sangue,142196.8,0,3544.55,45324.46,145741.35,191065.81,Goiás
Lavinia Goncalves,Auxiliar de enfermagem de saúde pública,116479.22,0,4078.08,66601.82,120557.3,187159.12,Goiás
Joao Ribeiro,Auxiliar em saúde bucal da estratégia de saúde da família,94738.41,8048.69,5911.92,72901.3,108699.02,181600.32,Goiás
Marisa Correia,Avaliador judicial (escrivão),94738.4,10970.52,10540.76,63738.7,116249.68,179988.38,Goiás
Luan Souza,Abatedor,94738.4,11623.15,6859.23,65644.03,113220.78,178864.81,Goiás
Alice Lima,Adeleiro (comércio varejista),129480.8,0,6246.8,41893.93,135727.6,177621.53,Goiás
Clara Santos,Adestrador (eqüinos),94738.4,8246.37,3543.46,71033.96,106528.23,177562.19,Goiás
Vinicius Lima,Administrador apostólico,95938.42,24095.61,3543.46,53837.15,123577.49,177414.64,Goiás
Giovanna Dias,Administrador de restaurante,124092.8,760.67,0,50984.87,124853.47,175838.34,Goiás
Anna Barbosa,Administrador de sistemas operacionais,95938.4,12207.15,10809.22,56786.6,118954.77,175741.37,Goiás
Raissa Carvalho,Advogado (ambientalista),94738.41,5292.43,3543.46,71669.48,103574.3,175243.78,Goiás
Gabriela Santos,Advogado trabalhista,111380.8,0,1040,61298.37,112420.8,173719.17,Goiás
Julia Pereira,Afiador - na fabricação,98784,0,1905.6,72835.93,100689.6,173525.53,Goiás
Joao Oliveira,Afiador de facas ( inclusive ambulante),70148.81,27602.08,11191.2,64189.56,108942.09,173131.65,Goiás
Nicole Carvalho,Afiador manual,103840.82,0,5657.28,63386.05,109498.1,172884.15,Goiás
Paulo Goncalves,Afinador de piano,91657.6,13479.56,5757.88,61919.7,110895.04,172814.74,Goiás
Aline Correia,Agente de navio - no transporte marítimo,92502.6,0,9037.67,70141.52,101540.27,171681.79,Goiás
Martim Souza,Agente de pátio e terminais (ferrovia e metrô),72196.81,37545.45,6372.76,55412.3,116115.02,171527.32,Goiás
Livia Ribeiro,Agente de transporte e trânsito,94738.4,572.88,3543.46,71669.48,98854.74,170524.22,Goiás
Vinícius Sousa,Agente funerário,129486.4,0,0,40500.22,129486.4,169986.62,Goiás
Luan Azevedo,Agente penitenciário,94738.4,10601.52,2429.12,62071.98,107769.04,169841.02,Goiás
Manuela Araujo,Aguilhoeiro,113624,0,0,55047.15,113624,168671.15,Goiás
Matilde Fernandes,Ajudante de banhos (vidros),67005.21,41546.65,3347.67,56477.44,111899.53,168376.97,Goiás
Lucas Souza,Ajudante de oleiro,121604.8,0,0,44436.11,121604.8,166040.91,Goiás
Kauã Fernandes,Ajuntador de andiroba,68571.2,54422.49,3367.91,38658.62,126361.6,165020.22,Goiás
Kai Dias,Ajustador mecânico,104900.84,0,6121.2,53439.26,111022.04,164461.3,Goiás
