Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Luiz Melo,Agente de higiene e segurança,139010.32,0,9513.42,109434,148523.74,257957.74,Maranhão
Kauan Sousa,Agente de pátio,113080,31913.46,13199.87,96951.95,158193.33,255145.28,Maranhão
Luiza Sousa,Agente social,158724.81,0,9157.2,80014.22,167882.01,247896.23,Maranhão
Livia Carvalho,Ajudante de lapidador (vidros),158724.8,0,9157.2,70513.82,167882,238395.82,Maranhão
Nicolash Ribeiro,Amassador - em olaria,159123.2,0,0,68486.64,159123.2,227609.84,Maranhão
Manuela Lima,Analista de mercadologia (economista),159924.87,0,9157.2,52400.78,169082.07,221482.85,Maranhão
Caio Pereira,Artífice do couro,92969.6,27879.86,3499.24,80401.06,124348.7,204749.76,Maranhão
Martim Pinto,Atendente do setor de vinhos,127566.4,0,7359.6,61085.98,134926,196011.98,Maranhão
Caio Rocha,Acabador de macho - na fundição,113624.07,0,0,64547.55,113624.07,178171.62,Maranhão
Melissa Castro,Agente de saúde,94738.4,12972.12,3991.36,59089.76,111701.88,170791.64,Maranhão
Evelyn Souza,Agente policial,87821.6,2887.25,2689.25,76438.16,93398.1,169836.26,Maranhão
Igor Castro,Ampoleiro,113297.6,0,0,49017.34,113297.6,162314.94,Maranhão
Caio Costa,Analista de rede,109791.2,0,1040,48320.16,110831.2,159151.36,Maranhão
André Goncalves,Animador de rádio,87821.6,2761.96,1679.6,65566.62,92263.16,157829.78,Maranhão
Luís Costa,Apontador de campo,84754.4,17378.92,2282.16,51352.35,104415.48,155767.83,Maranhão
Breno Cunha,Argumentista-roteirista de história em quadrinhos,87821.65,0,0,66202.98,87821.65,154024.63,Maranhão
José Cavalcanti,Atendente de centro cirúrgico,98795.2,4461.85,0,44933.85,103257.05,148190.9,Maranhão
Vitor Goncalves,Adeleiro (comércio varejista),80083.2,0,1527.2,55362.03,81610.4,136972.43,Maranhão
Gabriela Souza,Advogado criminalista,92440.02,0,2890.99,40231.92,95331.01,135562.93,Maranhão
Beatriz Barbosa,Ajudante de esterilização (indústria alimentícia),89064.83,0,3464.8,39507.82,92529.63,132037.45,Maranhão
Douglas Correia,Ajudante de fábrica de tijolos,76250.42,0,1454,54243.19,77704.42,131947.61,Maranhão
Maria Santos,Ajudante de guincheiro,100276.8,0,0,31269.54,100276.8,131546.34,Maranhão
Alex Almeida,Analista de folha de pagamento,81660.8,3322.41,0,42865.75,84983.21,127848.96,Maranhão
Raissa Fernandes,Antropólogo,80083.2,0,0,45435.38,80083.2,125518.58,Maranhão
Giovana Oliveira,Apontador de cartões de ponto,85535.57,0,0,39112.38,85535.57,124647.95,Maranhão
Bruna Almeida,Aramador - na fabricação de arame,75827.32,0,0,48181.2,75827.32,124008.52,Maranhão
Nicolas Silva,Atendente de lojas e mercados,67371.2,4777.53,3407.42,44385.07,75556.15,119941.22,Maranhão
Isabella Castro,Auditor de contabilidade e orçamento,54787.2,29452.48,650,33804.63,84889.68,118694.31,Maranhão
Aline Rocha,Auxiliar de linha de produção,72778.21,0,0,43888.59,72778.21,116666.8,Maranhão
Ryan Lima,Abastecedor de máquinas de linha de produção,75730.63,0,0,38167.96,75730.63,113898.59,Maranhão
