Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Enzo Cardoso,Acabador de chapéus de palha,248302.6,6207.76,0,83236.38,254510.36,337746.74,Mato Grosso do Sul
Anna Gomes,Adestrador (eqüinos),181525.6,0,18884.84,105354.18,200410.44,305764.62,Mato Grosso do Sul
Isabella Martins,Administrador de carteiras de câmbio e comércio exterior,169763.43,841.91,12288.59,117600.27,182893.93,300494.2,Mato Grosso do Sul
Luana Sousa,Administrador de rede e de sistemas computacionais,113080,60489.36,14929.4,96861.04,188498.76,285359.8,Mato Grosso do Sul
Raissa Barbosa,Agente de organização escolar,165564.8,0,9715.2,81748.27,175280,257028.27,Mato Grosso do Sul
Carolina Pereira,Agente de saúde pública,93773.6,71797.03,5505.36,81711.46,171075.99,252787.45,Mato Grosso do Sul
Isabela Araujo,Ajudante de banhos (vidros),162501.6,0,9420.4,71835.06,171922,243757.06,Mato Grosso do Sul
Rafaela Ribeiro,Analista de logística (técnico de nível médio),87239.2,64891.44,2313.48,67600.05,154444.12,222044.17,Mato Grosso do Sul
Luiz Lima,Analista de pesquisa operacional,158724.83,0,3052.4,59331.75,161777.23,221108.98,Mato Grosso do Sul
Mariana Ribeiro,Árbitro central (futebol),94738.4,28058.6,12986.83,75899.06,135783.83,211682.89,Mato Grosso do Sul
Tomás Rocha,Arquivador,120518.83,0,0,87723.95,120518.83,208242.78,Mato Grosso do Sul
Carla Lima,Atleta de squash,94738.43,15514.49,9674.28,74794.9,119927.2,194722.1,Mato Grosso do Sul
Joao Pinto,Auxiliar técnico de montagem,123082.88,0,0,57781.66,123082.88,180864.54,Mato Grosso do Sul
Tiago Oliveira,Administrador em segurança da informação,94738.4,9304.06,1175,70437.76,105217.46,175655.22,Mato Grosso do Sul
Clara Fernandes,Agente da guarda portuária,94738.4,6049.19,1175,70437.76,101962.59,172400.35,Mato Grosso do Sul
Anna Oliveira,Alergista e imunologista,87821.6,7068.21,2159.6,67048.32,97049.41,164097.73,Mato Grosso do Sul
Brenda Silva,Analista de estudos de mercado,69682.38,34650.18,1897.73,54588.05,106230.29,160818.34,Mato Grosso do Sul
Júlio Martins,Anotador de consumo de energia elétrica,87821.6,0,1679.6,67835.76,89501.2,157336.96,Mato Grosso do Sul
Felipe Cavalcanti,Aplicador de sinteco e bona,87821.61,1199.73,0,66990.42,89021.34,156011.76,Mato Grosso do Sul
Joao Ribeiro,Apresentador de eventos,100276.82,0,0,54905.54,100276.82,155182.36,Mato Grosso do Sul
Guilherme Silva,Assistente de segurança,87922.93,2895.18,1040,57242.91,91858.11,149101.02,Mato Grosso do Sul
Emily Almeida,Atendente de farmácia - balconista,110991.21,0,837.44,36069.66,111828.65,147898.31,Mato Grosso do Sul
Felipe Gomes,Atleta da ginástica,104039.22,0,0,42748.99,104039.22,146788.21,Mato Grosso do Sul
Victor Correia,Atleta do hóquei,63992.94,28100.21,0,53774.87,92093.15,145868.02,Mato Grosso do Sul
Larissa Rocha,Autor-roteirista de televisão,99968.8,0,0,45046.34,99968.8,145015.14,Mato Grosso do Sul
Carlos Barros,Acabador de pedras,94121.6,0,0,43531.74,94121.6,137653.34,Mato Grosso do Sul
Diogo Alves,Administrador de edifícios,89001.3,2559.44,0,45132.38,91560.74,136693.12,Mato Grosso do Sul
Livia Ferreira,Agente comunitário de saúde,86821.61,0,5066.4,42914.53,91888.01,134802.54,Mato Grosso do Sul
Tomás Gomes,Agricultor na produção de arroz,71248,16768.06,1175,44118.59,89191.06,133309.65,Mato Grosso do Sul
Gustavo Lima,Ajudante de confecção,92172.56,8274.3,1461.2,30546.28,101908.06,132454.34,Mato Grosso do Sul
Giovanna Araujo,Ajudante de encaixotador,63017.6,12967.97,3091.63,53103.43,79077.2,132180.63,Mato Grosso do Sul
Amanda Martins,Ajudante de impressor de formulários contínuos,81931.2,0,2824.1,46765.7,84755.3,131521,Mato Grosso do Sul
Camila Ribeiro,Aplicador serigráfico em vidros,78790.4,284.1,3030.4,42600.26,82104.9,124705.16,Mato Grosso do Sul
Thiago Correia,Auxiliar de biblioteca,76250.44,0,5002.88,36696.55,81253.32,117949.87,Mato Grosso do Sul
Nicolas Pinto,Auxiliar de cortador de vidros,84049.58,0,0,33663.18,84049.58,117712.76,Mato Grosso do Sul
Rafael Ribeiro,Auxiliar de enfermagem,62720,0,3636,50998.32,66356,117354.32,Mato Grosso do Sul
Arthur Barros,Auxiliar de enfermagem ocupacional,78041.6,0,3001.6,36166.1,81043.2,117209.3,Mato Grosso do Sul
Rafaela Souza,Auxiliar de maestro,77112,0,0,39370.74,77112,116482.74,Mato Grosso do Sul
Kauan Sousa,Auxiliar de pizzaiolo,65908,0,6558.08,43285.6,72466.08,115751.68,Mato Grosso do Sul
Samuel Santos,Auxiliar técnico em laboratório de farmácia,76250.4,0,0,38410.18,76250.4,114660.58,Mato Grosso do Sul
Evelyn Souza,Avaliador físico,81360.8,0,0,32910.67,81360.8,114271.47,Mato Grosso do Sul
