Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Anna Souza,Abatedor de porco,243003.04,0,8292.44,92575.55,251295.48,343871.03,Mato Grosso
Vinicius Ferreira,Açougueiro cortador (exclusive comércio),113080,98283.64,15733.48,87516.73,227097.12,314613.85,Mato Grosso
Alex Ribeiro,Administrador de compras,94738.4,111384.63,9227.69,84126,215350.72,299476.72,Mato Grosso
Kai Gomes,Administrador de restaurante,94256,93694.66,9800.52,84622.16,197751.18,282373.34,Mato Grosso
Bruno Correia,Agente de microfinanças,141519.02,0,3436.41,112209.58,144955.43,257165.01,Mato Grosso
Larissa Pereira,Ajudante de pintor de móveis,158724.8,0,0,77458.44,158724.8,236183.24,Mato Grosso
Laura Cunha,Ajudante de polidor de veículos,136855.2,0,0,99172.07,136855.2,236027.27,Mato Grosso
Thaís Barros,Árbitro central (judô),113080,2812,10786.83,84975.64,126678.83,211654.47,Mato Grosso
Kauê Fernandes,Artesão rendeiro,134620.8,0,0,70564.6,134620.8,205185.4,Mato Grosso
Erick Castro,Atleta de vela,94738.4,7542.45,7973.57,84115.3,110254.42,194369.72,Mato Grosso
Isabelle Oliveira,Atleta do hipismo,94738.4,27878.69,9227.69,62131.56,131844.78,193976.34,Mato Grosso
Kaua Ferreira,Auxiliar de coordenação de ensino fundamental de primeira a quarta séries,94738.4,11241.72,9227.69,74625.6,115207.81,189833.41,Mato Grosso
Beatrice Araujo,Auxiliar de farmácia de manipulação,94738.43,14079.34,4797.58,72913.06,113615.35,186528.41,Mato Grosso
Marcos Melo,Auxiliar nos serviços de alimentação,94738.45,5247.99,1175,80145.57,101161.44,181307.01,Mato Grosso
Guilherme Castro,Abatedor de gado,94738.4,9233.11,3543.46,71213.61,107514.97,178728.58,Mato Grosso
Kauê Azevedo,Administrador,94577.6,20203.26,3539.44,59186.27,118320.3,177506.57,Mato Grosso
Estevan Cardoso,Administrador de patrimônio,93735.2,5756.98,4746.2,71879.6,104238.38,176117.98,Mato Grosso
Carla Barros,Advogado (propriedade intelectual),90262.07,0,4758.2,79250.07,95020.27,174270.34,Mato Grosso
Diego Santos,Afinador de motores diesel (exceto de veículos automotores),120157.74,0,0,52660.37,120157.74,172818.11,Mato Grosso
Marcos Melo,Agente de inspeção (qualidade),95938.4,13273.74,7471.95,55377.78,116684.09,172061.87,Mato Grosso
Júlia Costa,Agente de inspeção de pesca,94972.8,0,7431.84,69526.83,102404.64,171931.47,Mato Grosso
Carlos Souza,Arrendatário (pecuária),70729.6,28802.54,2375,50821.57,101907.14,152728.71,Mato Grosso
Camila Ribeiro,Artista plástico,89064.81,0,3464.8,58559.73,92529.61,151089.34,Mato Grosso
Gustavo Santos,Assessor de presidência,96676.81,0,6741.2,47104.92,103418.01,150522.93,Mato Grosso
Estevan Melo,Assistente de coreografia,94371.2,0,4722.16,50900.88,99093.36,149994.24,Mato Grosso
Giovanna Cavalcanti,Assistente de logística de transporte,91016.81,0,6977.2,51303.58,97994.01,149297.59,Mato Grosso
Nicolas Castro,Astrônomo,87300.03,0,3396,57992.61,90696.03,148688.64,Mato Grosso
Tiago Araujo,Ator de rádio,100913.6,0,0,44841.95,100913.6,145755.55,Mato Grosso
Manuela Oliveira,Atuário,88385.44,0,0,57319.93,88385.44,145705.37,Mato Grosso
Beatriz Castro,Auxiliar de magarefe,61903.77,24326.27,3055.83,52293.07,89285.87,141578.94,Mato Grosso
Joao Almeida,Advogado (ambientalista),96427.2,0,1838.8,37723.46,98266,135989.46,Mato Grosso
Mateus Sousa,Advogado (direitos da criança e do adolescente),86821.6,0,1655.6,47193.06,88477.2,135670.26,Mato Grosso
Carolina Castro,Ajudante de pintor à pistola,67079.69,17932.74,0,45812.55,85012.43,130824.98,Mato Grosso
Vinicius Martins,Analista de rede,91145.6,0,0,35707.54,91145.6,126853.14,Mato Grosso
Eduardo Pinto,Analista de sinistros,88834.4,0,0,37945.18,88834.4,126779.58,Mato Grosso
José Goncalves,Apontador de obras,78790.4,2329.62,2727.36,40742.17,83847.38,124589.55,Mato Grosso
Luana Rocha,Assistente técnico - no serviço público,76250.44,0,0,44336.98,76250.44,120587.42,Mato Grosso
Alex Ribeiro,Atendente balconista,79311.82,0,1586.31,39587.06,80898.13,120485.19,Mato Grosso
Lara Cardoso,Atleta de handebol,80013.84,0,0,39355.02,80013.84,119368.86,Mato Grosso
Paulo Cardoso,Auxiliar de dendrometrista,71533.88,0,0,45984.77,71533.88,117518.65,Mato Grosso
Matheus Sousa,Auxiliar de laboratorista de solos e de concreto,88042.4,0,0,28745.83,88042.4,116788.23,Mato Grosso
Paulo Barros,Auxiliar de manutenção elétrica e hidráulica,75337.6,0,0,40959.7,75337.6,116297.3,Mato Grosso
Otávio Cunha,Açaizeiro,76250.41,0,4449.6,32705.6,80700.01,113405.61,Mato Grosso
Pedro Ferreira,Agente comunitário de saúde,61624.5,5092.25,0,44920.5,66716.75,111637.25,Mato Grosso
Paulo Barros,Amarrador de piaçava,77388.09,3702.62,0,26550.55,81090.71,107641.26,Mato Grosso
Bruno Pinto,Ambulante,74192.46,0,2035.6,31372.49,76228.06,107600.55,Mato Grosso
Eduardo Fernandes,Analista de mercado de trabalho (economista),69712.68,0,778.41,36017.66,70491.09,106508.75,Mato Grosso
Tânia Carvalho,Analista de sinistros,60055.06,1259.7,0,44973.39,61314.76,106288.15,Mato Grosso
Tomás Martins,Animador de televisão,75827.32,3632.35,0,26132.14,79459.67,105591.81,Mato Grosso
Matheus Rodrigues,Apresentador de telejornal,63536.8,0,0,40706.04,63536.8,104242.84,Mato Grosso
Renan Goncalves,Arriador de filatório,75052.62,0,0,27708.91,75052.62,102761.53,Mato Grosso
Giovanna Almeida,Atacante - no futebol,71552.8,5528,2956.7,20308.34,80037.5,100345.84,Mato Grosso
Nicole Barbosa,Atendente de seguro saúde,63443.32,0,0,36365.68,63443.32,99809,Mato Grosso
Thiago Goncalves,Atendente do setor de rotisserie (pratos prontos),54968.37,2040,0,42657.66,57008.37,99666.03,Mato Grosso
Leonardo Ribeiro,Atleta de futebol sete,57126.12,3887.17,3302.25,35073.21,64315.54,99388.75,Mato Grosso
Fábio Melo,Abatedor de galinha,63260.8,0,2526.16,28950.29,65786.96,94737.25,Mato Grosso
Vitoria Dias,Administrador de marketing,60056.33,0,0,34178.08,60056.33,94234.41,Mato Grosso
Tânia Cardoso,Afiador de brocas e coroas,65141.63,0,0,28259.12,65141.63,93400.75,Mato Grosso
Giovanna Carvalho,Ajudante de guincheiro,63696.85,0,1214.63,26679.77,64911.48,91591.25,Mato Grosso
Tomás Gomes,Ajudante de tratamento de preparo de xarope,67675.73,1044.68,120,22251.84,68840.41,91092.25,Mato Grosso
Matheus Correia,Amaciador de couros e peles,47788.99,0,10154.09,32322.73,57943.08,90265.81,Mato Grosso
Igor Sousa,Amassador - em olaria,54574.91,0,0,35662.47,54574.91,90237.38,Mato Grosso
Bruna Ribeiro,Analista de cobrança,56926.4,0,0,32872.73,56926.4,89799.13,Mato Grosso
Enzo Santos,Analista de leasing,61317.96,0,0,28083.39,61317.96,89401.35,Mato Grosso
Beatrice Costa,Analista de sinistros,56087.78,0,0,32968.35,56087.78,89056.13,Mato Grosso
Murilo Dias,Âncora de rádio e televisão,55042.66,0,0,33708.26,55042.66,88750.92,Mato Grosso
Yasmin Cardoso,Árbitro de poló aquático,53115.17,0,1040,33480.55,54155.17,87635.72,Mato Grosso
Bianca Martins,Arrendatário - na agropecuária,64263.44,0,0,22625.16,64263.44,86888.6,Mato Grosso
Estevan Rodrigues,Assentador cerâmico,53191.52,0,0,32991.5,53191.52,86183.02,Mato Grosso
Enzo Souza,Assistente sindical de entidades patronais,60056.33,0,2336.25,23212.91,62392.58,85605.49,Mato Grosso
Aline Pereira,Atendente de consultório médico,57036.19,0,0,28291.93,57036.19,85328.12,Mato Grosso
Júlia Araujo,Auditor-fiscal da receita federal,51988.44,0,0,32248.72,51988.44,84237.16,Mato Grosso
Cauã Castro,Auxiliar de armazenamento,40424.83,17455.1,1690,24459.78,59569.93,84029.71,Mato Grosso
Nicole Goncalves,Auxiliar de eletrônica,55042.59,1584.53,2141.26,24715.81,58768.38,83484.19,Mato Grosso
Diego Pereira,Auxiliar de produção de gorduras vegetais comestíveis,49260.17,0,0,33012.14,49260.17,82272.31,Mato Grosso
Renan Melo,Auxiliar jurídico,60132.1,0,0,21927.11,60132.1,82059.21,Mato Grosso
Samuel Alves,Agente de manobra e docagem,46819.59,959.83,1040,31243.97,48819.42,80063.39,Mato Grosso
Luis Souza,Analista de tratamento de água,46987.17,0,0,29790.51,46987.17,76777.68,Mato Grosso
Anna Santos,Aplicador de impressos em cerâmica,59863.78,0,0,15930.63,59863.78,75794.41,Mato Grosso
Isabella Souza,Apontador de tempo (produção),44636.29,0,0,31038.25,44636.29,75674.54,Mato Grosso
