Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Bianca Ribeiro,Abatedor de gado,244511.78,0,2630.16,102867.43,247141.94,350009.37,Minas Gerais
Gabriela Almeida,Açougueiro classificador (exclusive comércio),113080,75572.08,21489.3,105236.84,210141.38,315378.22,Minas Gerais
Carlos Cardoso,Adegueiro,207878.4,0,12218.4,87257.16,220096.8,307353.96,Minas Gerais
Douglas Correia,Advogado (direito de família e sucessões),137428.51,0,20799.46,114665.71,158227.97,272893.68,Minas Gerais
Ryan Castro,Aeromoça,113080,53227.88,20906.72,81330.46,187214.6,268545.06,Minas Gerais
Alex Martins,Afiador de brocas e coroas,122265.36,37773.61,15520.03,92252.27,175559,267811.27,Minas Gerais
Martim Rodrigues,Afiador de facas,113080,47807.22,17376.16,88612.78,178263.38,266876.16,Minas Gerais
Davi Santos,Afiador de talhadeira,94738.4,79347.63,13115.46,77972.16,187201.49,265173.65,Minas Gerais
Kauan Azevedo,Afiador manual,113080,55386.81,10786.83,85099.43,179253.64,264353.07,Minas Gerais
Thiago Goncalves,Afinador mecânico,180019.2,0,128.66,82939.01,180147.86,263086.87,Minas Gerais
Luana Alves,Agaipi,203896,0,3898,55089.89,207794,262883.89,Minas Gerais
Lara Goncalves,Agente de comércio exterior,140799.12,0,14911.03,103742.02,155710.15,259452.17,Minas Gerais
Alice Cardoso,Agente de inteligência,175385.6,0,0,82231.84,175385.6,257617.44,Minas Gerais
Breno Pinto,Agente de manutenção de veículos ferroviários,94738.41,68657.7,9227.69,84631.02,172623.8,257254.82,Minas Gerais
Arthur Oliveira,Agente de polícia federal,132734.96,0,19853.96,101862.25,152588.92,254451.17,Minas Gerais
Cauã Costa,Agente de proteção de aviação civil,163121.6,0,9432,81579.83,172553.6,254133.43,Minas Gerais
Lara Azevedo,Agente de recrutamento e seleção,124121.15,597.44,57195.27,71797.4,181913.86,253711.26,Minas Gerais
Matheus Barbosa,Agente educador,94738.4,65579.49,5911.92,82401.7,166229.81,248631.51,Minas Gerais
Alex Barbosa,Agente fiscal metrológico,175052.8,0,0,73423.58,175052.8,248476.38,Minas Gerais
Isabelle Araujo,Agente funerário - tanatopraxista,158724.81,0,9157.2,80234.03,167882.01,248116.04,Minas Gerais
Melissa Lima,Ajudante de boiadeiro,162501.6,0,9420.4,71835.03,171922,243757.03,Minas Gerais
