Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Livia Cunha,Administrador (serviço de hospedagem),211785.6,0,0,92659.88,211785.6,304445.48,Paraná
Giovana Silva,Administrador de contadorias e registros fiscais,213220.63,0,8876,77089.74,222096.63,299186.37,Paraná
Arthur Rodrigues,Administrador de patrimônio,164934.36,0,14200.61,109979.2,179134.97,289114.17,Paraná
Erick Ribeiro,Administrador de refeitório,146659.86,0,23868.83,112167.96,170528.69,282696.65,Paraná
André Silva,Advogado (recursos hídricos e minerais),157309.68,0,63512.74,50599.48,220822.42,271421.9,Paraná
Yasmin Melo,Advogado (telecomunicações),147677.26,6351.26,11472.39,105588.14,165500.91,271089.05,Paraná
Tomás Goncalves,Advogado criminalista,175052.8,0,10099.2,84955.22,185152,270107.22,Paraná
Giovanna Pinto,Afretador,146477.04,2807.61,9635.35,104059.5,158920,262979.5,Paraná
Livia Araujo,Agente de apoio socioeducativo,175385.6,0,10118.4,75798.32,185504,261302.32,Paraná
André Castro,Agente de contrrole de dengue,113969.6,39329.42,10786.83,95094.95,164085.85,259180.8,Paraná
Miguel Barros,Agente de passagens,175385.6,0,6745.6,74695.08,182131.2,256826.28,Paraná
Brenda Gomes,Agente de segurança,94738.4,63995.47,9227.69,84417.27,167961.56,252378.83,Paraná
Luana Sousa,Agente de segurança penitenciária,132530.15,8536.88,13101.4,98037.86,154168.43,252206.29,Paraná
Luana Barbosa,Agente de transporte,167267.21,0,9229.56,73064.09,176496.77,249560.86,Paraná
Gabrielle Silva,Agente de venda de passagens,162501.6,0,6197.6,80284.28,168699.2,248983.48,Paraná
Carla Rocha,Agente indígena de saneamento,158724.8,0,9157.2,80233.99,167882,248115.99,Paraná
Nicolas Cardoso,Agente técnico de operação na captação,182339.2,0,0,65195.94,182339.2,247535.14,Paraná
Breno Lima,Agregado - na agropecuária,94738.4,57613.62,9373.22,85126.46,161725.24,246851.7,Paraná
Matheus Silva,Ajudante de britador,175385.6,0,0,68213.82,175385.6,243599.42,Paraná
Leila Costa,Ajudante de despachante aduaneiro,163121.6,0,0,78721,163121.6,241842.6,Paraná
Cauã Sousa,Ajudante de eletricista,143665.6,0,8292.44,89598.6,151958.04,241556.64,Paraná
Manuela Araujo,Ajudante de estufador (madeira),152251.58,0,0,87686.29,152251.58,239937.87,Paraná
Arthur Dias,Alergologista,131260.82,0,3278.24,96847.96,134539.06,231387.02,Paraná
Leonor Azevedo,Alfarrabista (comércio varejista),95096.72,45797.33,12909.22,77089.77,153803.27,230893.04,Paraná
Victor Ribeiro,Amostrista de minérios,158724.8,0,0,67958.04,158724.8,226682.84,Paraná
Luís Cunha,Analista (psicanálise),94738.4,31857.3,13270.84,86368.33,139866.54,226234.87,Paraná
Raissa Rocha,Analista de custos,113080,8411.4,15427.13,87434.87,136918.53,224353.4,Paraná
Sofia Alves,Analista de mercado internacional,94738.4,28389.69,18164.44,80205.02,141292.53,221497.55,Paraná
Rebeca Lima,Analista de planejamento e orçamento - apo,158724.82,0,3052.4,59331.73,161777.22,221108.95,Paraná
Letícia Castro,Animador de rádio,94738.4,34765.28,5911.92,82401.7,135415.6,217817.3,Paraná
Vitór Oliveira,Apanhador de bacaba,99475.33,41307.54,8113.35,67324.91,148896.22,216221.13,Paraná
Carlos Correia,Apartador de gado,159924.83,0,4273.36,51140.27,164198.19,215338.46,Paraná
Rafael Alves,Apontador de cartões de ponto,94738.4,35930.35,2429.12,80880.42,133097.87,213978.29,Paraná
Matheus Martins,Apontador de produção,158724.8,0,0,55049.16,158724.8,213773.96,Paraná
Vitória Cardoso,Aprendiz de mecânica de manutenção,94738.4,33281.35,9227.69,76466.32,137247.44,213713.76,Paraná
Yasmin Cardoso,Árbitro central (karatê),121828.51,0,0,89794.61,121828.51,211623.12,Paraná
Antônio Costa,Arquiteto paisagista,146123.2,0,5746.4,56515.44,151869.6,208385.04,Paraná
Carla Castro,Arquiteto restaurador,120518.83,0,0,87827.8,120518.83,208346.63,Paraná
Vinícius Castro,Arrematador,94738.4,21560.17,7363.02,83606.96,123661.59,207268.55,Paraná
Anna Fernandes,Arrendatário polivalente,95558.24,20495.85,7054.24,83558.02,123108.33,206666.35,Paraná
Joao Ribeiro,Asperador de solas e palmilhas,94738.4,15880.56,9227.69,84126,119846.65,203972.65,Paraná
Breno Barros,Assistente comercial de seguros,132760.8,0,0,70031.61,132760.8,202792.41,Paraná
Cauã Rocha,Assistente de estação (metrô e ferrovia),94738.4,18165.72,11894.25,76791.53,124798.37,201589.9,Paraná
Diogo Martins,Assistente de vendas,94738.4,21443.25,9227.69,74936.73,125409.34,200346.07,Paraná
Eduardo Souza,Assoalhador,94738.41,19969.42,9126.02,75368.42,123833.85,199202.27,Paraná
Thiago Azevedo,Atendente central telemarketing,95938.4,36824.32,9227.69,56887.04,141990.41,198877.45,Paraná
Emilly Gomes,Atendente comercial em agência postal,94738.4,29728.57,9227.69,65074.08,133694.66,198768.74,Paraná
Danilo Barros,Atendente de seguro saúde,121259.21,0,7150,68175.31,128409.21,196584.52,Paraná
Gustavo Azevedo,Atleta de canoagem,94738.4,19163.45,1175,80550.48,115076.85,195627.33,Paraná
Gabrielly Ferreira,Atleta de pólo aquático,126539.36,0,0,68267.86,126539.36,194807.22,Paraná
Anna Rocha,Ator bonequeiro,94738.4,28101.14,12909.22,57776.45,135748.76,193525.21,Paraná
Martim Souza,Ator de teatro,132294.4,0,0,61184.97,132294.4,193479.37,Paraná
Sophia Correia,Ator de televisão,94738.41,21100.98,4797.58,72799.42,120636.97,193436.39,Paraná
Giovana Souza,Atuário,121718.83,0,0,71371.04,121718.83,193089.87,Paraná
Matilde Pinto,Autor de ficção,94738.4,17197,6859.23,73591.39,118794.63,192386.02,Paraná
Letícia Castro,Autor de música,124636,0,0,67726.16,124636,192362.16,Paraná
Sofia Correia,Auxiliar administrativo,94738.4,40922.2,3543.46,52549.49,139204.06,191753.55,Paraná
Giovana Alves,Auxiliar administrativo bilíngüe,124153.61,0,0,67565.17,124153.61,191718.78,Paraná
Daniel Sousa,Auxiliar de almoxarifado,139655.2,0,900,50836.42,140555.2,191391.62,Paraná
Luiza Pinto,Auxiliar de bibliotecário,94738.41,11367.26,3543.46,81169.88,109649.13,190819.01,Paraná
Beatriz Cardoso,Auxiliar de dessulfuração e estação de mistura,94738.4,21154.42,10227.69,61716.72,126120.51,187837.23,Paraná
Júlio Costa,Auxiliar de escritório,94648.82,13324.27,5464.02,73418.2,113437.11,186855.31,Paraná
Gabriela Alves,Auxiliar de linha de produção,94738.4,5939.76,9227.69,75413.04,109905.85,185318.89,Paraná
Lavinia Santos,Auxiliar de museus,94738.4,14745.67,7019.23,67759.3,116503.3,184262.6,Paraná
Giovanna Araujo,Auxiliar de processamento de fumo,67371.2,60291.97,0,55557.1,127663.17,183220.27,Paraná
Otávio Sousa,Auxiliar de serigrafia,84754.4,33331.47,3293.86,61149.9,121379.73,182529.63,Paraná
Erick Araujo,Auxiliar de técnico de controle de qualidade,94317.92,20927.97,5839.56,60959.91,121085.45,182045.36,Paraná
Marcos Souza,Auxiliar em hemotransfusão,94738.4,8132.59,5911.92,72901.3,108782.91,181684.21,Paraná
Daniel Ribeiro,Auxiliar técnico de geração de energia,98784,0,11652.48,70629.44,110436.48,181065.92,Paraná
Beatriz Lima,Auxiliar técnico de hidrografia,94321.86,4944.1,8077.95,73708.18,107343.91,181052.09,Paraná
Julia Cavalcanti,Auxiliar técnico em laboratório de farmácia,114233.6,0,8787.2,57770.12,123020.8,180790.92,Paraná
Tiago Oliveira,Auxiliar técnico- no futebol,94738.4,13929.95,1175,70748.88,109843.35,180592.23,Paraná
