Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Sophia Costa,Acabador de mármore e granito,186176.58,0,19628.55,129965.87,205805.13,335771,Paraíba
Luiza Souza,Agente de inspeção (qualidade),193020.4,0,0,64888.2,193020.4,257908.6,Paraíba
Bruno Azevedo,Ajudante de cabeleireiro,157414.4,0,7325.76,78677.67,164740.16,243417.83,Paraíba
Yasmin Goncalves,Ajudante de pasteleiro,158724.81,0,0,77458.45,158724.81,236183.26,Paraíba
Bruna Ferreira,Analista de negócios,161429.6,0,600,59376.08,162029.6,221405.68,Paraíba
Daniel Santos,Aparador - na extração da carnaúba,154774.41,0,0,60950.23,154774.41,215724.64,Paraíba
Fernanda Fernandes,Apicultor - exclusive conta própria e empregador,93291.2,51640.76,8865.1,61220.77,153797.06,215017.83,Paraíba
Evelyn Azevedo,Arreador em matadouro,113080,4929.49,6829,82917.18,124838.49,207755.67,Paraíba
Murilo Lima,Assistente de biblioteca,94738.4,14488.37,9227.69,84126,118454.46,202580.46,Paraíba
Alex Araujo,Assistente de presidência,94738.4,23100.9,8637.36,74345.59,126476.66,200822.25,Paraíba
Lucas Castro,Atacante - no futebol,135520.8,0,5814.96,57631,141335.76,198966.76,Paraíba
Vitória Rodrigues,Atendente de informações (telemarketing),127566.48,0,8402.21,61471.22,135968.69,197439.91,Paraíba
Kauan Lima,Atleta de bodybare,94738.4,25682.49,3543.46,71669.48,123964.35,195633.83,Paraíba
Diogo Pinto,Auditor externo (contadores e afins),104009.04,0,5716.8,83174.04,109725.84,192899.88,Paraíba
Enzo Souza,Auxiliar de dendrometrista,94738.4,8811.36,4429.12,80776.71,107978.88,188755.59,Paraíba
Felipe Castro,Auxiliar de mecânico diesel (exceto de veículos automotores),140363.2,0,0,44283.41,140363.2,184646.61,Paraíba
Miguel Rocha,Auxiliar de preparação de areia,91657.6,21610.59,4664.28,65369.37,117932.47,183301.84,Paraíba
Manuela Castro,Auxiliar de saúde marítimo,94738.4,3649.63,9227.69,75117.09,107615.72,182732.81,Paraíba
Diogo Melo,Agente fiscal(atividades urbanas),99404.42,15212.73,11108.41,44318.94,125725.56,170044.5,Paraíba
Enzo Lima,Analista de agronegócios (economista),104332.8,0,1040,56713.16,105372.8,162085.96,Paraíba
Cauã Costa,Aparelhador de pedra (mina),87821.6,125.97,1679.6,67048.32,89627.17,156675.49,Paraíba
Isabela Pinto,Assessor de microfinanças,81462.68,28497.4,5891.6,34793.97,115851.68,150645.65,Paraíba
Nicolas Melo,Atleta de ciclismo,96493.6,0,0,50153.49,96493.6,146647.09,Paraíba
Otávio Goncalves,Auxiliar de técnico de controle de qualidade,94371.2,0,1101.36,44696.16,95472.56,140168.72,Paraíba
Ana Dias,Azulejador,101121,0,0,37150.02,101121,138271.02,Paraíba
Luan Silva,Abastecedor de caldeira,81971.82,0,562.8,55626.96,82534.62,138161.58,Paraíba
