Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Isabella Cavalcanti,Acabador de moldes (fundição),242766.91,0,0,91450.09,242766.91,334217,Pará
Larissa Cardoso,Administrador de redes,224165.61,0,0,59224.26,224165.61,283389.87,Pará
Danilo Barbosa,Administrador de sistema operacional de rede,146058.98,0,18675.33,117600.16,164734.31,282334.47,Pará
Larissa Cavalcanti,Advogado (direito do trabalho),139849.28,0,24627.25,108154.17,164476.53,272630.7,Pará
Miguel Gomes,Agente de coleta ( censo e pesquisas amostrais),175385.6,0,10118.4,75555.49,185504,261059.49,Pará
Luís Ferreira,Agente de viagem,175385.6,0,0,73518.88,175385.6,248904.48,Pará
Enzo Ribeiro,Ajudante de esterilização (indústria alimentícia),158724.86,0,3052.4,78310.41,161777.26,240087.67,Pará
Bruno Rocha,Ajudante de preparador de lingotamento,158724.86,0,0,77081.95,158724.86,235806.81,Pará
André Costa,Analista de recursos humanos,158724.87,0,0,62031.29,158724.87,220756.16,Pará
Livia Cavalcanti,Aplainador de mármore,99475.33,31947.44,1175,82401.7,132597.77,214999.47,Pará
Caio Ferreira,Apresentador de programas de televisão,94738.4,26967.95,14155.49,77122.78,135861.84,212984.62,Pará
Rebeca Sousa,Arquiteto de edificações,135191.2,0,2103.68,71365.75,137294.88,208660.63,Pará
Erick Almeida,Arrumador de prateleiras - em supermercados,112290.88,16663.47,10938.84,66049.25,139893.19,205942.44,Pará
Matheus Sousa,Assessor de presidência,94738.4,28040.45,6859.23,73808.71,129638.08,203446.79,Pará
Daniel Almeida,Assistente de serviço de contabilidade,137060.01,0,5332,58135.87,142392.01,200527.88,Pará
Danilo Costa,Atendente de cafeteria,134620.8,0,7855.2,55480.9,142476,197956.9,Pará
Rebeca Araujo,Auxiliar de barman,140171.2,0,0,50858.26,140171.2,191029.46,Pará
Giovana Barbosa,Auxiliar de enfermagem do trabalho,94738.4,14278.96,9227.69,68906.22,118245.05,187151.27,Pará
Kauã Correia,Auxiliar de serviços no aeroporto,94738.4,13624.89,2289.34,71556.89,110652.63,182209.52,Pará
Estevan Costa,Auxiliar de topógrafo,65842.43,61969.5,0,54152.13,127811.93,181964.06,Pará
Lavinia Pinto,Auxiliar técnico- nos esportes,115041.51,0,992.4,64513.58,116033.91,180547.49,Pará
Julia Alves,Adestrador de animais de trabalho ( asininos e muares),110718.46,0,0,66795.47,110718.46,177513.93,Pará
Felipe Goncalves,Advogado (agente de propriedade industrial),111380.8,0,0,63904.7,111380.8,175285.5,Pará
Vitor Castro,Advogado criminalista,94738.4,22490.1,3543.46,53211.8,120771.96,173983.76,Pará
Isabelle Pinto,Afinador de motores a diesel,83533.52,10119.8,559.58,78615.56,94212.9,172828.46,Pará
Vitoria Cavalcanti,Agente de viagem,124964.8,0,0,45411.02,124964.8,170375.82,Pará
Igor Cavalcanti,Ajudante de carga e descarga de mercadoria,108525.62,0,4139.2,55528.89,112664.82,168193.71,Pará
Thiago Barbosa,Ajudante de churrasqueiro,94738.41,4131.9,3543.46,65742.68,102413.77,168156.45,Pará
Diego Azevedo,Ajudante de padeiro,105628.8,0,6231.6,54018.03,111860.4,165878.43,Pará
Beatriz Silva,Ajudante de pintor,103967.2,0,0,61867.76,103967.2,165834.96,Pará
Leonor Lima,Ajudante de preparador de lingotamento,94738.41,8020,1175,61551.71,103933.41,165485.12,Pará
Evelyn Carvalho,Amolador de ferramentas,104900.85,0,4016.8,53668.41,108917.65,162586.06,Pará
Gabrielly Alves,Analista de laboratório químico (petróleo),93291.22,5490.74,3507.28,58014.05,102289.24,160303.29,Pará
Carlos Fernandes,Analista de pesquisa operacional,99787.3,0,0,59616.63,99787.3,159403.93,Pará
Fernanda Costa,Analista de subscrição de títulos,106116.05,0,0,52895.7,106116.05,159011.75,Pará
Julia Costa,Analista de suporte de sistema,83284.8,7311.46,2179.6,66171.87,92775.86,158947.73,Pará
Diogo Araujo,Andrologista,123316.8,0,0,34705.84,123316.8,158022.64,Pará
Luis Correia,Antiquário (comércio atacadista),100872,0,3847.2,52466.61,104719.2,157185.81,Pará
Bruna Ribeiro,Arador,102929.71,0,0,52012.07,102929.71,154941.78,Pará
Vitoria Azevedo,Aramista (equilibrista),87821.61,0,0,66990.42,87821.61,154812.03,Pará
Mariana Carvalho,Árbitro de futsal,100331.28,11573.9,1099.16,41557.19,113004.34,154561.53,Pará
Danilo Pereira,Arcebispo,95938.41,5130.98,1175,51892.61,102244.39,154137,Pará
Estevan Souza,Artesão modelador (vidros),100276.82,715,0,50777.8,100991.82,151769.62,Pará
Kauê Gomes,Artista dramático,67371.23,34192.98,0,49630.31,101564.21,151194.52,Pará
