Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Diego Almeida,Abastecedor de caldeira,235524.9,0,26040.04,131703.98,261564.94,393268.92,Pernambuco
Otávio Pinto,Abastecedor de máquinas de linha de produção,270534.98,42376.14,3365.83,61174.26,316276.95,377451.21,Pernambuco
Rebeca Santos,Abelheiro,248400.21,0,0,93416.54,248400.21,341816.75,Pernambuco
Ágatha Melo,Acabador de pedras,162063.86,814.91,24676.6,143126.07,187555.37,330681.44,Pernambuco
Amanda Barbosa,Acafelador,238752,0,0,90905.03,238752,329657.03,Pernambuco
Enzo Alves,Adeleiro (comércio atacadista),168854.4,0,24502.4,113268.72,193356.8,306625.52,Pernambuco
Daniel Rocha,Administrador apostólico,160829.02,1629.82,16877.19,124687.29,179336.03,304023.32,Pernambuco
Antônio Lima,Administrador de ambulatório,97504.57,114797.3,6357.6,84217.19,218659.47,302876.66,Pernambuco
Beatriz Barros,Administrador de sistemas operacionais,144753.82,0,21931.66,113884.39,166685.48,280569.87,Pernambuco
Evelyn Santos,Administrador no comércio de mercadorias,113266.66,67820.37,16253.55,79520.34,197340.58,276860.92,Pernambuco
Isabelle Alves,Administrador paroquial,110129.2,78264.92,6629.64,81455.43,195023.76,276479.19,Pernambuco
Alice Araujo,Administrador público,113080,78949.71,6829,77361.75,198858.71,276220.46,Pernambuco
Emily Carvalho,Advogado (concorrência desleal),113080,44476.42,16427.15,99966.16,173983.57,273949.73,Pernambuco
Fernanda Sousa,Advogado (direitos da criança e do adolescente),94738.41,83890.49,9227.69,84126.01,187856.59,271982.6,Pernambuco
José Rodrigues,Advogado civilista,138448.82,0,23944.26,108416.97,162393.08,270810.05,Pernambuco
Ana Ribeiro,Afiador ambulante,138913.84,2126.19,14609.93,112254.2,155649.96,267904.16,Pernambuco
Larissa Cardoso,Agente administrativo,139983.04,1362.84,10116.44,110236.52,151462.32,261698.84,Pernambuco
Kaua Melo,Agente de inspeção de pesca,175385.6,0,0,82231.84,175385.6,257617.44,Pernambuco
Daniel Sousa,Agente de segurança ferroviária,171844.82,0,6732.8,73700.66,178577.62,252278.28,Pernambuco
Melissa Sousa,Agente operacional de estação,94738.4,82412.31,9227.69,61716.72,186378.4,248095.12,Pernambuco
Leonardo Dias,Agricultor na produção da cana-de-açúcar,163488,0,3144,79776.22,166632,246408.22,Pernambuco
Alex Correia,Agrônomo,165564.8,0,0,79439.11,165564.8,245003.91,Pernambuco
Marina Ribeiro,Ajudante de açougueiro (comércio),158724.8,0,6104.8,79162.31,164829.6,243991.91,Pernambuco
Anna Cardoso,Ajudante de engarrafamento,158724.8,0,9757.2,71986.96,168482,240468.96,Pernambuco
