Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Estevan Carvalho,Administrador de banco de dados,148341.04,0,28255.59,124325.73,176596.63,300922.36,Piauí
Lucas Gomes,Amarrador de piaçava,97504.56,57644.52,9227.69,63292.15,164376.77,227668.92,Piauí
Manuela Carvalho,Analista de cadeias produtivas (economista),94738.4,44516.32,10920.76,75477.75,150175.48,225653.23,Piauí
Felipe Araujo,Assistente de direção de teatro,94738.4,19875.53,11389.68,75821.54,126003.61,201825.15,Piauí
Evelyn Barros,Assistente técnico em madeira,140518.4,0,2733.2,56385.03,143251.6,199636.63,Piauí
Vinícius Martins,Auxiliar de mecânico de autos,114233.6,0,4393.6,66044.26,118627.2,184671.46,Piauí
Otávio Carvalho,Auxiliar de supervisor escolar,123615.52,0,5250.08,53317.55,128865.6,182183.15,Piauí
Emilly Cunha,Ajustador de máquinas de embalagem,81377.56,1222,6057.63,76123.57,88657.19,164780.76,Piauí
Murilo Castro,Alfarrabista (comércio varejista),94738.4,8075.65,2708.6,58315.58,105522.65,163838.23,Piauí
Isabelle Ferreira,Analista de tráfego,106584.37,0,3821.6,48473.36,110405.97,158879.33,Piauí
Fábio Cavalcanti,Ascensorista,96489.6,8673.66,0,45893.51,105163.26,151056.77,Piauí
Isabela Ribeiro,Assistente de serviço de contabilidade,75618.4,13059.27,1175,59244.45,89852.67,149097.12,Piauí
Luís Castro,Atirador de facas,104582.4,0,2041.6,40169.08,106624,146793.08,Piauí
Tânia Almeida,Auxiliar de cartório,75618.4,18394.26,1175,49291.41,95187.66,144479.07,Piauí
Kauan Correia,Administrador paroquial,75638.4,0,5193.96,55201.62,80832.36,136033.98,Piauí
Matilde Gomes,Afiador de cardas,80537.83,0,0,54742.31,80537.83,135280.14,Piauí
Gabrielle Dias,Alvanel,83277.65,0,0,46356.62,83277.65,129634.27,Piauí
Marisa Araujo,Alvaner,97627.24,0,0,32005.98,97627.24,129633.22,Piauí
Leila Rocha,Artista dramático,65749.6,10115.71,1587.5,43966.87,77452.81,121419.68,Piauí
Ryan Pereira,Assistente técnico florestal,76250.4,0,0,44336.98,76250.4,120587.38,Piauí
Mariana Rodrigues,Atendente de reintegração social,79092.16,0,1170,39570.62,80262.16,119832.78,Piauí
Luan Gomes,Agente funerário,49897.84,37722.45,1959.31,20767.12,89579.6,110346.72,Piauí
Luis Cardoso,Ajudante de extrusão de fibras de vidro,79311.86,246.86,2186.31,27587.47,81745.03,109332.5,Piauí
Julia Alves,Alvejador de sola,70521.58,0,2737.28,34509.35,73258.86,107768.21,Piauí
Emily Barbosa,Amolador - na fabricação,67265.86,104.58,7292.71,32895.28,74663.15,107558.43,Piauí
Matheus Ferreira,Analista tributário (economista),70714.48,9558.93,500,24943.89,80773.41,105717.3,Piauí
Bianca Castro,Assentador de vidros,81213.84,0,0,20654.72,81213.84,101868.56,Piauí
Douglas Lima,Assistente de cozinhador,63696.8,0,575.97,36864.09,64272.77,101136.86,Piauí
Amanda Dias,Auditor (contadores e afins),74811.2,0,0,24157.41,74811.2,98968.61,Piauí
Matheus Ferreira,Auxiliar de agricultura,66306.81,0,1040,30938.1,67346.81,98284.91,Piauí
Livia Goncalves,Auxiliar de enfermagem em saúde mental,59660.87,0,2163.75,35486.6,61824.62,97311.22,Piauí
Renan Correia,Auxiliar de oftalmologia,47670.86,8029.08,0,40690.7,55699.94,96390.64,Piauí
Luiz Goncalves,Advogado (energia elétrica),57992.68,139.7,1025.38,34475.68,59157.76,93633.44,Piauí
Beatriz Alves,Ajudante de pizzaiolo,58037.6,0,0,33191.08,58037.6,91228.68,Piauí
Breno Costa,Ajuntador de andiroba,66111.8,0,1040,23906.14,67151.8,91057.94,Piauí
Vinicius Silva,Analista de crédito (instituições financeiras),57126.15,0,1040,31546.29,58166.15,89712.44,Piauí
Rodrigo Goncalves,Aplicador de sinteco e bona,56900.01,0,4173.02,27137.81,61073.03,88210.84,Piauí
Eduarda Pinto,Artesão com material reciclável,60056.29,0,1040,25558.33,61096.29,86654.62,Piauí
Vitoria Cavalcanti,Atendente de buffet,55848.02,80.55,0,29432.66,55928.57,85361.23,Piauí
Martim Correia,Atuário,51936.85,0,0,32412.26,51936.85,84349.11,Piauí
Cauã Castro,Auxiliar de dessulfuração e estação de mistura,48789.72,0,2080,32637.44,50869.72,83507.16,Piauí
Nicolash Goncalves,Auxiliar de técnico de eletrônica,49775.38,0,0,32356.93,49775.38,82132.31,Piauí
Joao Melo,Agente comunitário de saúde,53115.13,1074.19,2093.13,24031.85,56282.45,80314.3,Piauí
Arthur Barbosa,Analista de seguros (técnico),53115.2,0,2072.88,21802.44,55188.08,76990.52,Piauí
Eduarda Castro,Auditor externo (contadores e afins),66454.06,0,300,5175.36,66754.06,71929.42,Piauí
Laura Souza,Auxiliar de creche,41958.14,0,0,29268.03,41958.14,71226.17,Piauí
Leonardo Pinto,Auxiliar de dendrometrista,40975.63,0,0,30112.33,40975.63,71087.96,Piauí
Emily Azevedo,Auxiliar de orientação educacional,50393.59,885.61,878.55,17722.55,52157.75,69880.3,Piauí
Ana Sousa,Advogado (direito internacional),47925.84,0,0,18973.46,47925.84,66899.3,Piauí
Maria Barros,Agente operacional de estação,46466.33,0,0,18599,46466.33,65065.33,Piauí
