Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Luana Lima,Advogado (propriedade intelectual),147531.28,708.73,9409.2,113976.66,157649.21,271625.87,Rio Grande do Norte
Giovana Rocha,Advogado trabalhista,146309.46,0,20017.04,103338.73,166326.5,269665.23,Rio Grande do Norte
Amanda Goncalves,Agente de estação (ferrovia e metrô),175052.8,0,0,83542.84,175052.8,258595.64,Rio Grande do Norte
Luiza Martins,Agente de manobra e docagem,175385.6,0,10118.4,71847.12,185504,257351.12,Rio Grande do Norte
Daniel Silva,Agente de passagens aéreas,175052.8,0,6732.8,74596.06,181785.6,256381.66,Rio Grande do Norte
Maria Castro,Ajudante de classificador de madeira,158724.82,0,12209.6,71512.32,170934.42,242446.74,Rio Grande do Norte
Antônio Lima,Ajustador de válvulas,156416,0,0,76797.12,156416,233213.12,Rio Grande do Norte
Arthur Oliveira,Amolador de talhadeira,158724.81,0,0,67958.04,158724.81,226682.85,Rio Grande do Norte
Giovana Fernandes,Analista de suporte técnico,94738.41,58913.51,5911.92,59992.42,159563.84,219556.26,Rio Grande do Norte
Joao Barros,Anotador de produção,158724.81,0,0,58406.52,158724.81,217131.33,Rio Grande do Norte
Lara Azevedo,Apanhador - na cultura,142886.4,0,0,74078.02,142886.4,216964.42,Rio Grande do Norte
Matilde Santos,Apanhador de café,157732.77,0,0,58062.8,157732.77,215795.57,Rio Grande do Norte
Lavinia Azevedo,Apresentador animador de programas de rádio,148406.4,0,0,65022.74,148406.4,213429.14,Rio Grande do Norte
Anna Rocha,Árbitro de vôlei,94376.5,40578.81,3905.36,71669.48,138860.67,210530.15,Rio Grande do Norte
Bruna Correia,Armeiro (comércio atacadista),94738.4,33849.17,6872.54,73567.39,135460.11,209027.5,Rio Grande do Norte
Gabrielle Sousa,Assistente técnico florestal,143279.65,0,0,56166.83,143279.65,199446.48,Rio Grande do Norte
Luan Sousa,Atleta de karatê,94738.4,28375.9,1175,70748.88,124289.3,195038.18,Rio Grande do Norte
Vitór Martins,Auxiliar de dendrometria,121895.36,0,0,66943.88,121895.36,188839.24,Rio Grande do Norte
Livia Castro,Auxiliar de produção farmacêutica,91657.6,23435.02,3466.44,64544.95,118559.06,183104.01,Rio Grande do Norte
Vinicius Azevedo,Auxiliar técnico de engenharia (construção civil),94738.4,14747.12,1175,70437.76,110660.52,181098.28,Rio Grande do Norte
Júlia Pinto,Auxiliar técnico de fundição em siderurgia,94738.4,19493.32,6037.68,60818.03,120269.4,181087.43,Rio Grande do Norte
Vitor Cunha,Acabador de embalagens (flexíveis e cartotécnicas),113880.83,0,0,64635.72,113880.83,178516.55,Rio Grande do Norte
Sarah Rodrigues,Afiador de cutelaria,109791.24,0,0,63449.52,109791.24,173240.76,Rio Grande do Norte
Kauã Souza,Ajudante de britador,94738.4,11329.07,3543.46,58760.6,109610.93,168371.53,Rio Grande do Norte
Brenda Barros,Animador de festas populares,119594.32,0,0,38301.32,119594.32,157895.64,Rio Grande do Norte
Beatriz Pinto,Apropriador de mão-de-obra,100712.12,4824.76,1416.3,48069.8,106953.18,155022.98,Rio Grande do Norte
Brenda Gomes,Arqueador,87821.61,0,120,65567.46,87941.61,153509.07,Rio Grande do Norte
Giovana Azevedo,Atleta de nado sincronizado,96489.6,1010.85,3680,45259.02,101180.45,146439.47,Rio Grande do Norte
