Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Fábio Rocha,Açougueiro,193397.79,0,0,123347.18,193397.79,316744.97,Rio Grande do Sul
Maria Goncalves,Agente administrativo supervisor,175052.8,0,10772.48,75723.54,185825.28,261548.82,Rio Grande do Sul
Kai Castro,Agente de carga,141527.4,6978.06,10687.93,102096.95,159193.39,261290.34,Rio Grande do Sul
Samuel Pereira,Agente de estação (manobras),175052.8,0,0,83542.84,175052.8,258595.64,Rio Grande do Sul
Bruno Ribeiro,Ajudante de despachante alfandegário,113080,23455.01,10786.83,94476.04,147321.84,241797.88,Rio Grande do Sul
Nicolash Barros,Ajudante de extrusão de fibras de vidro,158724.81,0,10257.2,70902.41,168982.01,239884.42,Rio Grande do Sul
Leila Silva,Ajudante de filtrador (filtro-prensa),159418.42,0,9056.4,70725.28,168474.82,239200.1,Rio Grande do Sul
Paulo Barros,Alapini,153630.97,0,16534.37,61596.26,170165.34,231761.6,Rio Grande do Sul
Isabella Rocha,Alheiro (comércio varejista),113080,31165.75,10786.83,75424.12,155032.58,230456.7,Rio Grande do Sul
Bruno Melo,Alvejador de sola,110163.44,24033.71,10447.91,83337.1,144645.06,227982.16,Rio Grande do Sul
Vitor Melo,Amolador de serras,158724.82,0,0,67958.05,158724.82,226682.87,Rio Grande do Sul
Otávio Oliveira,Amostrista,158724.8,0,0,67958.04,158724.8,226682.84,Rio Grande do Sul
Kauan Carvalho,Analista de balanço,158724.81,0,9157.2,57824.72,167882.01,225706.73,Rio Grande do Sul
Thiago Fernandes,Analista de câmbio,162501.62,0,0,63127.32,162501.62,225628.94,Rio Grande do Sul
Bruna Alves,Analista de mercado e produtos (economista),96888.32,45730.57,9227.69,69780.95,151846.58,221627.53,Rio Grande do Sul
Vinicius Barbosa,Analista químico,94738.42,37000.86,4797.58,82008.56,136536.86,218545.42,Rio Grande do Sul
Vinícius Dias,Anestesiologista,94738.41,39559.65,9227.69,74625.61,143525.75,218151.36,Rio Grande do Sul
Kauê Araujo,Apontador de tempo (produção),158724.8,0,0,55049.16,158724.8,213773.96,Rio Grande do Sul
Rebeca Santos,Apóstolo,143462.85,0,0,70286.64,143462.85,213749.49,Rio Grande do Sul
Breno Ferreira,Apresentador de telejornal,110378.96,10711.72,9095.35,82464.72,130186.03,212650.75,Rio Grande do Sul
Ana Silva,Árbitro de basquete,94738.4,32681.7,9227.69,74655.6,136647.79,211303.39,Rio Grande do Sul
Murilo Oliveira,Árbitro econômico,138275.2,0,7910.4,64319.36,146185.6,210504.96,Rio Grande do Sul
Antônio Souza,Armador de ferros,178528.68,0,1079,30051.2,179607.68,209658.88,Rio Grande do Sul
Diego Castro,Armazenário (comércio atacadista),109743.2,0,4248.8,95061.4,113992,209053.4,Rio Grande do Sul
Erick Ribeiro,Armazenário (comércio varejista),94738.4,32988.98,1175,80145.58,128902.38,209047.96,Rio Grande do Sul
Aline Oliveira,Arqueador,94738.4,35325.2,5911.92,72901.3,135975.52,208876.82,Rio Grande do Sul
Laura Gomes,Arraçoador (pecuária polivalente),140996.8,0,10755.2,56341.57,151752,208093.57,Rio Grande do Sul
Lucas Silva,Arrumador no serviço doméstico,149936.8,0,0,55901.93,149936.8,205838.73,Rio Grande do Sul
Pedro Ribeiro,Artista de corda,94738.41,25130.81,3543.46,81169.88,123412.68,204582.56,Rio Grande do Sul
Leonor Ribeiro,Assinalador - na pecuária,96967.08,15093.99,6683.63,84461.69,118744.7,203206.39,Rio Grande do Sul
José Carvalho,Assistente de estúdio (gravação de áudio),94738.4,29234.44,4797.58,72611.86,128770.42,201382.28,Rio Grande do Sul
Júlia Almeida,Assistente de produtos (técnico de seguros),132531.2,0,5339.2,62900.2,137870.4,200770.6,Rio Grande do Sul
Sophia Alves,Atendente de agência,127200.8,0,2355.2,69112.62,129556,198668.62,Rio Grande do Sul
João Rodrigues,Atendente de berçário,94738.4,22336.07,1175,79938.16,118249.47,198187.63,Rio Grande do Sul
Igor Goncalves,Atendente de clínica dentária,94738.42,31317.35,1175,70437.76,127230.77,197668.53,Rio Grande do Sul
Fábio Lima,Atendente de judiciário,94738.41,11954.26,7239.05,83386.67,113931.72,197318.39,Rio Grande do Sul
Thaís Almeida,Audiologista (fonoaudiólogo),94577.6,19200.33,5903.88,73334.87,119681.81,193016.68,Rio Grande do Sul
Joao Rocha,Auxiliar de enfermagem em home care,103646.01,18593.86,12274.24,52555.28,134514.11,187069.39,Rio Grande do Sul
Sophia Almeida,Auxiliar de enfermagem ocupacional,94738.41,8380.48,9227.69,74625.61,112346.58,186972.19,Rio Grande do Sul
Sarah Carvalho,Auxiliar de maquinista de trem,98784,0,9528,76508.56,108312,184820.56,Rio Grande do Sul
Daniel Santos,Auxiliar de montador de fotolito,94738.4,16565.54,10746.52,62555.96,122050.46,184606.42,Rio Grande do Sul
Fábio Almeida,Auxiliar de nutrição e dietética,95813.37,4004.42,9227.69,75166.68,109045.48,184212.16,Rio Grande do Sul
André Cavalcanti,Auxiliar de serviço de copa,87239.2,6690.94,8590.34,79943.41,102520.48,182463.89,Rio Grande do Sul
Arthur Carvalho,Auxiliar de técnico de eletrônica,87239.2,18274.19,4642.44,71845.35,110155.83,182001.18,Rio Grande do Sul
Pedro Pereira,Auxiliar mecânico de ar condicionado,133830.4,0,0,47578.03,133830.4,181408.43,Rio Grande do Sul
Letícia Barros,Avaliador de prédios,115222.44,0,0,65005.62,115222.44,180228.06,Rio Grande do Sul
Laura Araujo,Abatedor de galinha,92808.8,9504.73,4701.1,71685.89,107014.63,178700.52,Rio Grande do Sul
Alice Rocha,Açougueiro cortador (exclusive comércio),94738.4,11234.96,1175,70645.18,107148.36,177793.54,Rio Grande do Sul
Vitoria Goncalves,Acupuntor,120204.8,0,5062,52404.57,125266.8,177671.37,Rio Grande do Sul
Thaís Correia,Administrador de contadorias e registros fiscais,94738.4,10756.29,4797.58,66373.94,110292.27,176666.21,Rio Grande do Sul
Bruna Azevedo,Administrador de recursos humanos,116479.2,0,2265.6,57339.49,118744.8,176084.29,Rio Grande do Sul
Estevan Souza,Administrador no comércio de mercadorias,94738.4,8812.67,1175,70842.66,104726.07,175568.73,Rio Grande do Sul
