Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Vinicius Santos,Abanador na agricultura,253718.4,0,24357.06,140545.68,278075.46,418621.14,Rio de Janeiro
Vitória Barbosa,Abastecedor de linha de produção,203190.4,0,25296.51,158013.39,228486.91,386500.3,Rio de Janeiro
Júlio Fernandes,Acepilhador de metais,196000.8,0,19729.64,110442.42,215730.44,326172.86,Rio de Janeiro
Júlia Pinto,Acupunturista,161065.16,0,26889.36,120524.34,187954.52,308478.86,Rio de Janeiro
Evelyn Costa,Administrador de edifícios,179116,0,8292.44,110687.68,187408.44,298096.12,Rio de Janeiro
Ryan Almeida,Administrador de empresas,195813.6,0,8292.44,93731.46,204106.04,297837.5,Rio de Janeiro
Manuela Pereira,Administrador de empresas de hospedagem,220435.86,0,0,76682.57,220435.86,297118.43,Rio de Janeiro
Carolina Silva,Advogado (agente de propriedade industrial),175385.6,0,13491.2,86159.13,188876.8,275035.93,Rio de Janeiro
Martim Cavalcanti,Advogado (direito civil),146171.36,0,12087.17,114640.04,158258.53,272898.57,Rio de Janeiro
Isabelle Pereira,Advogado (energia elétrica),175052.8,0,10099.2,86667.53,185152,271819.53,Rio de Janeiro
Giovana Rodrigues,Advogado comercial,110129.2,64689.76,12058.56,83546.79,186877.52,270424.31,Rio de Janeiro
Fábio Souza,Advogado constitucionalista,175052.8,0,10099.2,85197.6,185152,270349.6,Rio de Janeiro
Estevan Barros,Afiador - na fabricação,213625.35,0,0,54522.82,213625.35,268148.17,Rio de Janeiro
Felipe Almeida,Agente de defesa ambiental,87285.61,75661.78,20912.26,75230.58,183859.65,259090.23,Rio de Janeiro
Lavinia Pereira,Agente de investigação de incêndio,175385.6,0,0,82231.84,175385.6,257617.44,Rio de Janeiro
Gabriel Santos,Agente de portaria,175052.8,0,3366.4,75871.45,178419.2,254290.65,Rio de Janeiro
Caio Melo,Agente de vistoria de alarmes,94738.4,95305.93,1175,57528.88,191219.33,248748.21,Rio de Janeiro
Bruno Sousa,Agente funerário,158724.89,0,9157.2,80234.06,167882.09,248116.15,Rio de Janeiro
Vitór Cavalcanti,Agente policial,158724.8,0,9157.2,80160.76,167882,248042.76,Rio de Janeiro
Júlio Lima,Agente rodoviário,158724.8,0,9157.2,80087.51,167882,247969.51,Rio de Janeiro
Júlia Azevedo,Agrostólogo,113080,34354.61,10786.83,85942.19,158221.44,244163.63,Rio de Janeiro
Cauã Cardoso,Aguilhoeiro,158724.8,0,6104.8,79308.82,164829.6,244138.42,Rio de Janeiro
Vinicius Silva,Ajudante de afiação de serras,94738.4,68745.91,6911.92,73421.69,170396.23,243817.92,Rio de Janeiro
Letícia Oliveira,Ajudante de afiador,155474.61,0,9157.2,79180.42,164631.81,243812.23,Rio de Janeiro
Igor Araujo,Ajudante de confecção,163488,0,0,78823.28,163488,242311.28,Rio de Janeiro
Sofia Cardoso,Ajudante de embarque de carga,67371.2,109340.13,5946.8,58604.62,182658.13,241262.75,Rio de Janeiro
Júlia Silva,Ajudante de evaporador na destilação,94738.4,55054.27,13436.64,76688.49,163229.31,239917.8,Rio de Janeiro
Martim Barros,Ajudante de fábrica de tijolos,94738.4,62979.43,7973.57,73994.47,165691.4,239685.87,Rio de Janeiro
Fernanda Correia,Ajudante de lingotamento,162501.6,0,9482.4,66001.42,171984,237985.42,Rio de Janeiro
Brenda Gomes,Ajudante de marteleteiro,158724.81,0,13430.56,64797.75,172155.37,236953.12,Rio de Janeiro
Erick Araujo,Ajudante de pátio de sucata,158724.81,0,0,77458.45,158724.81,236183.26,Rio de Janeiro
Fábio Rodrigues,Ajudante de produção de óleos vegetais - na ind. Alimentar,107421.16,35530.31,10138.27,82531.99,153089.74,235621.73,Rio de Janeiro
Samuel Melo,Ajudante de serviço de (aplicação de produtos agroquímicos),163121.61,0,9432,62301.56,172553.61,234855.17,Rio de Janeiro
Luiz Ribeiro,Ajustador de rebarbador,170642.4,0,0,62808.8,170642.4,233451.2,Rio de Janeiro
Eduardo Fernandes,Ajustador limador de tornos,143665.6,0,8292.44,80885.64,151958.04,232843.68,Rio de Janeiro
Marisa Almeida,Ajustador mecânico,113080,22005.37,10786.83,86798.89,145872.2,232671.09,Rio de Janeiro
Júlio Martins,Ajustador mecânico (usinagem em bancada e em máquinas-ferramentas),158724.8,0,9157.2,64587.02,167882,232469.02,Rio de Janeiro
Brenda Rocha,Alfeloeiro,134118.04,0,0,96628.51,134118.04,230746.55,Rio de Janeiro
Martim Fernandes,Alheiro (comércio atacadista),158724.8,0,3052.4,68809.98,161777.2,230587.18,Rio de Janeiro
Maria Pereira,Alvejador de couros,163488,0,0,64940.84,163488,228428.84,Rio de Janeiro
