Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Mateus Costa,Auxiliar de conservação de obras civis,72447.2,0,0,45300.88,72447.2,117748.08,Roraima
Estevan Costa,Administrador de patrimônio,81213.83,9356.04,14.53,22364.75,90584.4,112949.15,Roraima
Victor Cardoso,Analista de redes e de comunicação de dados,65341.79,0,628.4,40333.85,65970.19,106304.04,Roraima
Marcos Melo,Aplicador de decalque em cerâmica,56806.4,8404.08,1777.99,37967.62,66988.47,104956.09,Roraima
Vinícius Oliveira,Afiador - na fabricação,63482.3,0,0,29946.84,63482.3,93429.14,Roraima
Bianca Barros,Analista de sistemas para internet,74998.4,0,0,14026.11,74998.4,89024.51,Roraima
Thaís Martins,Aparelhador de pedra (mármore),51029.08,4994.24,0,32360.97,56023.32,88384.29,Roraima
Marina Dias,Atleta de karatê,55075.53,0,0,29772.37,55075.53,84847.9,Roraima
Victor Cavalcanti,Analista de suporte técnico,55468.97,0,650,20790.42,56118.97,76909.39,Roraima
José Alves,Auxiliar de produção - na confecção de roupas,40824,0,0,0,40824,40824,Roraima
Alice Pinto,Ajudante de fábrica de tijolos,16618.92,0,8865,2569.62,25483.92,28053.54,Roraima
Tânia Azevedo,Árbitro de poló aquático,19313.7,0,0,0,19313.7,19313.7,Roraima
Camila Carvalho,Ajudante de lubrificação (indústria),1730.55,0,0,0,1730.55,1730.55,Roraima
Breno Cardoso,Assistente de negócios de seguros,37951,251,0,6406,38202,44608,Roraima
Mateus Castro,Agente de tráfego,65320,0,75,13481,65395,78876,Roraima
Luis Alves,Analista de crédito rural,28376,0,0,7619,28376,35995,Roraima
Nicolas Pinto,Amolador de cilindros,1469,0,85,199,1554,1753,Roraima
Gabriel Almeida,Auditor-fiscal da receita federal,10591.83,0,0,0,10591.83,10591.83,Roraima
Cauã Azevedo,Advogado (direitos da criança e do adolescente),36317,531.28,11285.88,11381.91,48134.16,59516.07,Roraima
Carlos Ribeiro,Ajudante de britador,2187.56,16.6,1139.73,770.08,3343.89,4113.97,Roraima
Victor Oliveira,Alvejador (tecidos),62390.64,35922.55,3149.3,31689.38,101462.49,133151.87,Roraima
Pedro Ferreira,Apóstolo,74616.75,3536.94,4651.99,44595.28,82805.68,127400.96,Roraima
Beatrice Souza,Auxiliar técnico de mecânica,62390.64,19235.78,6601.56,26982.29,88227.98,115210.27,Roraima
Bruna Melo,Afretador,49828.16,28774.75,3524.73,29045.9,82127.64,111173.54,Roraima
Melissa Cunha,Analista de mercadologia (economista),71306.28,0,0,33719.76,71306.28,105026.04,Roraima
Mariana Costa,Assistente de controladoria,56798.52,2420.61,3119.96,37439.56,62339.09,99778.65,Roraima
Alex Costa,Adeleiro (comércio varejista),49889.16,4821.01,2947.28,35375.59,57657.45,93033.04,Roraima
Tânia Lima,Analista (psicanálise),53521.86,9903.17,1314.35,23138.61,64739.38,87877.99,Roraima
Gabriel Castro,Alambrador - na fabricação de arame,48727.55,0,-560.88,27655.47,48166.67,75822.14,Roraima
Otávio Barbosa,Analista financeiro (instituições financeiras),44818.08,105.04,-3017.91,32278.81,41905.21,74184.02,Roraima
Carla Lima,Auxiliar de mecânico diesel (exceto de veículos automotores),48271.15,0,-1639.29,21533.99,46631.86,68165.85,Roraima
Vitor Gomes,Administrador de sistemas operacionais,44508.48,1073.02,1700,18337.62,47281.5,65619.12,Roraima
Giovanna Fernandes,Ajudante de lingotamento,58020.02,2445.43,1309.26,0,61774.71,61774.71,Roraima
Marina Fernandes,Apontador de cartões de ponto,56571.2,0,668.36,0,57239.56,57239.56,Roraima
Kauan Castro,Armarinheiro (comércio atacadista),29524.2,0,1115.1,25564.88,30639.3,56204.18,Roraima
João Rodrigues,Abastecedor de combustível de aeronave,25779.76,555.88,978.72,18741.72,27314.36,46056.08,Roraima
Luana Lima,Abatedor de animais,42578.7,844.02,2541.09,0,45963.81,45963.81,Roraima
Julian Goncalves,Arqueador de molas,31724.32,142.23,333.64,0,32200.19,32200.19,Roraima
Rebeca Santos,Ajudante de mineiro,6454.62,484.1,0,0,6938.72,6938.72,Roraima
Douglas Castro,Ajudante de extrusão de fibras de vidro,56615,0,1499,21407,58114,79521,Roraima
Erick Carvalho,Arrumador no serviço doméstico,91876.2,5454.7,22878.48,56701.65,120209.38,176911.03,Roraima
Ana Barros,Ator dublador,77051.47,3367.15,18110.24,26852.56,98528.86,125381.42,Roraima
Luana Almeida,Auxiliar de estatística,72894.47,349.47,1585.62,38168.17,74829.56,112997.73,Roraima
Diego Oliveira,Auxiliar mecânico de refrigeração,4202.4,0,27526.92,1995.83,31729.32,33725.15,Roraima
Marina Barros,Avaliador de jóias,16896.51,0,4733.63,8741.8,21630.14,30371.94,Roraima
Isabella Martins,Analista de ecodesenvolvimento (economista),1881.69,0,0,1199.44,1881.69,3081.13,Roraima
Melissa Dias,Atendente de aeroporto,58884.29,44344.03,5194.9,57780.76,108423.22,166203.98,Roraima
Carla Lima,Ajudante de montagem e fotolito,80729.06,0,0,47012.02,80729.06,127741.08,Roraima
Julian Ferreira,Ascensorista,53950.07,0,0,35439.12,53950.07,89389.19,Roraima
Sofia Pinto,Auxiliar de banco de sangue,44590.07,9581.6,600.08,31653.03,54771.75,86424.78,Roraima
Kaua Costa,Artesão moveleiro (exceto reciclado),36709.94,7256.92,76.92,30126.57,44043.78,74170.35,Roraima
Aline Barros,Auxiliar de arquitetura,32574.05,719.4,161.56,24369.53,33455.01,57824.54,Roraima
Bianca Rodrigues,Auxiliar de pedreiro,32196.02,3398.01,95.55,21075.6,35689.58,56765.18,Roraima
Aline Sousa,Amolador de ferramentas,29508.38,0,0,19511.19,29508.38,49019.57,Roraima
Enzo Santos,Auxiliar técnico de educação,0,0,0,606.12,0,606.12,Roraima
Ryan Sousa,Auxiliar de cartório,65796.56,0,0,24913.38,65796.56,90709.94,Roraima
Isabelle Pereira,Auxiliar de magarefe,63264.11,77.01,2996.28,18877.92,66337.4,85215.32,Roraima
Julia Cardoso,Árbitro de futebol,35656.58,6056.53,516.25,13837.95,42229.36,56067.31,Roraima
Beatrice Oliveira,Alergista e imunologista,37598.06,2246.92,1484.5,21731.98,41329.48,63061.46,Roraima
Ana Castro,Atleta de futvôlei,33232.32,0,30.91,13683.21,33263.23,46946.44,Roraima
Thaís Rocha,Auxiliar de parteira,28210.61,33.74,0,10408.15,28244.35,38652.5,Roraima
Tomás Dias,Arruador de café,48145,2786,1892,17442,52823,70265,Roraima
Livia Sousa,Atleta de taichichuan,14053,20,0,0,14073,14073,Roraima
Matilde Santos,Administrador de contadorias e registros fiscais,91283,52267,9483,91870,153033,244903,Roraima
Fábio Ribeiro,Ajudante de macheiro,71849,52088,10750,78709,134687,213396,Roraima
Luis Silva,Arcebispo,72208,42235,7799,65595,122242,187837,Roraima
Kai Sousa,Auxiliar de enfermagem,76662,10942,3410,79104,91014,170118,Roraima
Bruna Araujo,Alimentador de esteiras (preparação de alimentos e bebidas),73686,0,0,74900,73686,148586,Roraima
Diogo Carvalho,Artesão (artista visual),55030,13723,6440,62837,75193,138030,Roraima
Guilherme Sousa,Agente de inspeção de pesca,70430,0,1409,50285,71839,122124,Roraima
Murilo Fernandes,Analista de crédito (economista),69384,0,2512,44006,71896,115902,Roraima
Raissa Rodrigues,Auxiliar de afiador de ferramentas,59604,1115,4833,40851,65552,106403,Roraima
Rafaela Cardoso,Acrobata,51183,57,3072,47230,54312,101542,Roraima
Matilde Barbosa,Afiador de cardas,55108,849,7368,36637,63325,99962,Roraima
