Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Erick Correia,Acabador de embalagens (flexíveis e cartotécnicas),251471.38,0,47628.92,38303.28,299100.3,337403.58,Santa Catarina
Luana Ferreira,Adeleiro (comércio varejista),206702.4,0,8292.44,91225.73,214994.84,306220.57,Santa Catarina
Thaís Azevedo,Advogado (abuso do poder econômico),94738.4,97273.13,9227.69,74197.5,201239.22,275436.72,Santa Catarina
Matilde Souza,Advogados (direito eletrônico),94738.4,75555.72,12518.38,86093.39,182812.5,268905.89,Santa Catarina
Arthur Fernandes,Afiador de serras,175052.8,0,13423.52,77412.45,188476.32,265888.77,Santa Catarina
Aline Sousa,Agente comunitário de saúde,140696.35,0,10553.66,110243.58,151250.01,261493.59,Santa Catarina
Diogo Pinto,Agente de coleta supervisor,115004.56,47740.16,15612.91,82325.48,178357.63,260683.11,Santa Catarina
Júlia Dias,Agente de navio - no transporte marítimo,132732.49,2606.35,19749.23,102064.68,155088.07,257152.75,Santa Catarina
Luiz Cunha,Agente indígena de saúde,158724.8,0,9157.2,80233.99,167882,248115.99,Santa Catarina
Vitór Castro,Ajudante de ensacador,93130.4,53326.12,10062.94,83737.18,156519.46,240256.64,Santa Catarina
Gabrielly Oliveira,Ajuntador de ouricuri,159418.44,0,9056.4,66154.57,168474.84,234629.41,Santa Catarina
Gabriela Ferreira,Alergista,162501.6,0,0,69054.12,162501.6,231555.72,Santa Catarina
Aline Costa,Ampoleiro,158724.8,0,0,67958.04,158724.8,226682.84,Santa Catarina
Julian Dias,Aplicador de asfalto impermeabilizante (coberturas),94738.4,42887.6,11935.8,65338.01,149561.8,214899.81,Santa Catarina
Luis Ribeiro,Aplicador de impressos em cerâmica,111625.88,0,15625.71,87419.14,127251.59,214670.73,Santa Catarina
Giovana Barros,Apontador de campo,113080,4338.07,11499.4,85267.79,128917.47,214185.26,Santa Catarina
Felipe Pinto,Aprendiz de mecânico ajustador,151914.81,0,0,61749.85,151914.81,213664.66,Santa Catarina
Ágatha Correia,Armador de calçados,120518.84,0,0,89167.53,120518.84,209686.37,Santa Catarina
Ana Gomes,Armador de manilhas,93291.2,46930.72,1175,68227.6,141396.92,209624.52,Santa Catarina
Bianca Silva,Arquivista pesquisador (jornalismo),137635.88,0,6585.68,63909.28,144221.56,208130.84,Santa Catarina
Carolina Sousa,Arraçoador de camarões,94738.4,39001.61,2934.3,71402.67,136674.31,208076.98,Santa Catarina
Beatriz Souza,Arrombador - no comércio de gado - empregador,94577.61,32289.51,5903.88,73603.76,132771,206374.76,Santa Catarina
Leonor Martins,Arrumador de hotel,94738.4,20660.12,12433.46,78123.46,127831.98,205955.44,Santa Catarina
Aline Silva,Artesão modelador (vidros),152084.8,0,0,53180.56,152084.8,205265.36,Santa Catarina
Arthur Ribeiro,Artesão tecelão,142196.8,0,13551.2,49424.03,155748,205172.03,Santa Catarina
Rafaela Alves,Artífice de vime,113080,1900.5,10786.83,79048.84,125767.33,204816.17,Santa Catarina
Brenda Silva,Artista aéreo,120518.83,0,600,83571.45,121118.83,204690.28,Santa Catarina
Rodrigo Pinto,Artista de força capilar,143081.25,0,0,61472.2,143081.25,204553.45,Santa Catarina
Ana Goncalves,Artista dramático,94738.4,29378.82,5911.92,74291.14,130029.14,204320.28,Santa Catarina
Eduardo Araujo,Assistente de parto,133345.6,0,5273.6,62313.74,138619.2,200932.94,Santa Catarina
Yasmin Alves,Atendente de farmácia - balconista,94738.4,33496.43,3543.46,65742.68,131778.29,197520.97,Santa Catarina
Lara Gomes,Atendente do setor de hortifrutigranjeiros,127566.4,0,0,68532.32,127566.4,196098.72,Santa Catarina
Joao Martins,Atleta profissional de tênis,94738.41,20221.52,9227.69,69468.03,124187.62,193655.65,Santa Catarina
Sofia Sousa,Auxiliar de conservação de obras civis,104104.32,0,7622.4,78420.96,111726.72,190147.68,Santa Catarina
Vitória Rocha,Auxiliar de exportação e importação,94380.08,2851.8,6754.24,82645.27,103986.12,186631.39,Santa Catarina
Rafael Fernandes,Auxiliar de lavador de roupas,94738.4,7665.52,8617.14,74426.7,111021.06,185447.76,Santa Catarina
Mateus Cavalcanti,Auxiliar de lavador de tapetes,112902.4,0,6410.4,66133.64,119312.8,185446.44,Santa Catarina
Maria Correia,Auxiliar de pedreiro,94738.42,1516.2,15214.74,71927.6,111469.36,183396.96,Santa Catarina
André Araujo,Auxiliar de produção de fumo,117486.48,0,0,65654.38,117486.48,183140.86,Santa Catarina
José Barros,Auxiliar de vidraceiro,94738.4,4261.77,3851.58,78911.26,102851.75,181763.01,Santa Catarina
Kauan Sousa,Avaliador de produtos do meio de comunicação,94738.4,13855.74,1175,70437.76,109769.14,180206.9,Santa Catarina
Vitór Barbosa,Abanador na agricultura,94738.4,4147.36,6859.23,73393.91,105744.99,179138.9,Santa Catarina
Guilherme Silva,Abastecedor de máquinas de linha de produção,101348,0,0,77548.17,101348,178896.17,Santa Catarina
Aline Gomes,Abridor - nas salinas,94738.4,0,9227.69,74625.6,103966.09,178591.69,Santa Catarina
Clara Rodrigues,Acompanhante de idosos,94357.72,984.86,2289.34,80223.37,97631.92,177855.29,Santa Catarina
Luís Barbosa,Açougueiro,94738.4,13736.45,7973.57,61396.72,116448.42,177845.14,Santa Catarina
Antônio Rocha,Açougueiro retalhista,93773.6,16797.52,4749.34,62373.02,115320.46,177693.48,Santa Catarina
Samuel Araujo,Administrador de ambulatório,112890.02,0,7490,56960.83,120380.02,177340.85,Santa Catarina
Sarah Sousa,Administrador de empresas de pesca,94738.4,8500.95,4797.58,68349.54,108036.93,176386.47,Santa Catarina
Marina Castro,Advogado (direito público),118556.04,0,0,55825.2,118556.04,174381.24,Santa Catarina
Thiago Barros,Agente comunitário de saúde,124955.2,0,0,47460.16,124955.2,172415.36,Santa Catarina
Vitoria Rodrigues,Agente de passagens aéreas,109532.8,0,6319.2,55780.81,115852,171632.81,Santa Catarina
Martim Dias,Agente de transporte,94738.4,2300.11,2429.12,71068.89,99467.63,170536.52,Santa Catarina
Júlia Almeida,Agricultor na produção de gramíneas forrageiras,109791.25,0,4229.2,55180.72,114020.45,169201.17,Santa Catarina
Rodrigo Pinto,Ajudante de fábrica de tijolos,94738.42,10210.68,3543.46,58760.6,108492.56,167253.16,Santa Catarina
Murilo Goncalves,Ajudante de farmácia,112902.4,0,0,54208.57,112902.4,167110.97,Santa Catarina
Enzo Goncalves,Ambientador,87821.6,0,0,75067.86,87821.6,162889.46,Santa Catarina
Breno Silva,Analista ambiental,94738.4,5090.04,3543.46,58760.6,103371.9,162132.5,Santa Catarina
Sofia Alves,Analista de cadeias produtivas (economista),110073.66,0,0,51568.69,110073.66,161642.35,Santa Catarina
Samuel Martins,Analista de projetos viários,106240.81,0,0,52931.53,106240.81,159172.34,Santa Catarina
Vitor Almeida,Analista de seguros (técnico),87821.6,0,3359.2,67893.66,91180.8,159074.46,Santa Catarina
Fábio Cavalcanti,Analista de transportes e trânsito,84402.68,20572.28,2186.7,51624.37,107161.66,158786.03,Santa Catarina
Fábio Santos,Analista de tratamento de água,98524.85,0,0,60220.75,98524.85,158745.6,Santa Catarina
Melissa Martins,Analista técnico de sinistros,110425.6,0,0,47804.67,110425.6,158230.27,Santa Catarina
Tânia Pinto,Ancião,87821.6,4051.14,0,66202.98,91872.74,158075.72,Santa Catarina
Kauã Cardoso,Âncora de rádio e televisão,105290.68,0,0,52733.48,105290.68,158024.16,Santa Catarina
Felipe Gomes,Anestesiologista,106890.4,0,0,51120.39,106890.4,158010.79,Santa Catarina
Kauan Melo,Apicultor,87821.6,0,1679.6,67048.32,89501.2,156549.52,Santa Catarina
Cauã Oliveira,Apresentador de convenções,87821.6,1271.76,0,66202.98,89093.36,155296.34,Santa Catarina
Cauã Araujo,Apresentador de espetáculos,87821.6,1262.72,0,66202.98,89084.32,155287.3,Santa Catarina
Matilde Almeida,Arquiteto da paisagem,100276.8,6759.24,0,46365.92,107036.04,153401.96,Santa Catarina
Alice Ferreira,Arquiteto de restauro,108380.01,0,0,44966.31,108380.01,153346.32,Santa Catarina
Manuela Correia,Arreador,111633.62,0,4293.6,37081.93,115927.22,153009.15,Santa Catarina
Victor Pereira,Arrieiro,75024,29709.55,1175,46592.29,105908.55,152500.84,Santa Catarina
Ágatha Martins,Arte educador,105878.4,0,4128,42042.81,110006.4,152049.21,Santa Catarina
Giovanna Cunha,Artesão tricoteiro,100913.62,0,8894.4,41869.01,109808.02,151677.03,Santa Catarina
Livia Araujo,Assentador de vidros,96368.48,0,0,54403.4,96368.48,150771.88,Santa Catarina
Kauã Cunha,Assistente de editorial,98192.01,0,0,51412.25,98192.01,149604.26,Santa Catarina
Isabelle Ferreira,Atacante - no futebol,100276.8,0,7713.6,40550.34,107990.4,148540.74,Santa Catarina
Isabella Barros,Atendente balconista,87821.6,4863.92,1679.6,54139.44,94365.12,148504.56,Santa Catarina
Pedro Barbosa,Atendente de peixaria,92440.08,0,5323.6,49826.85,97763.68,147590.53,Santa Catarina
Nicolash Fernandes,Atleta de tênis profissional,87821.6,0,3359.2,54984.78,91180.8,146165.58,Santa Catarina
Joao Almeida,Autor-roteirista de cinema,99594.4,0,5811.6,39879.42,105406,145285.42,Santa Catarina
Gustavo Cardoso,Auxiliar de laboratorista de solos e de concreto,100276.8,0,0,41657.58,100276.8,141934.38,Santa Catarina
Amanda Cavalcanti,Auxiliar de operador de serra circular múltipla,87821.6,0,0,53294.1,87821.6,141115.7,Santa Catarina
Joao Gomes,Auxiliar de sushiman,86592.8,0,4953.6,48683.42,91546.4,140229.82,Santa Catarina
Miguel Rodrigues,Auxiliar em saúde bucal da estratégia de saúde da família,92079.2,3645.35,1000,43234.88,96724.55,139959.43,Santa Catarina
Aline Ribeiro,Abastecedor de combustível de aeronave,89905.6,0,0,48250.09,89905.6,138155.69,Santa Catarina
Luis Pinto,Administrador de carteiras de câmbio e comércio exterior,97627.26,0,5626.8,33576.42,103254.06,136830.48,Santa Catarina
Melissa Carvalho,Administrador de sistemas operacionais,85582.24,7011.95,0,43599.37,92594.19,136193.56,Santa Catarina
Luan Costa,Advogado (abuso do poder econômico),83404.8,0,4835.2,47775.76,88240,136015.76,Santa Catarina
Kai Cavalcanti,Advogado (concorrência desleal),70729.6,18310.61,2028.66,44846.97,91068.87,135915.84,Santa Catarina
Julian Cavalcanti,Advogado contratualista,87821.61,0,0,47745.3,87821.61,135566.91,Santa Catarina
Julian Melo,Advogado de empresa,85202.46,6851.64,0,43457.74,92054.1,135511.84,Santa Catarina
Fábio Cardoso,Afiador de facas,87646.4,0,0,47603.86,87646.4,135250.26,Santa Catarina
Victor Araujo,Agente de controle de vetores,89962.16,0,0,44680.67,89962.16,134642.83,Santa Catarina
Giovanna Santos,Agente de polícia federal,86168,0,0,47864.83,86168,134032.83,Santa Catarina
Carlos Barros,Agente de reserva de passagens rodoviárias,96792.8,0,0,37162.03,96792.8,133954.83,Santa Catarina
Tomás Pinto,Agricultor polivalente,86592.8,0,0,46665.35,86592.8,133258.15,Santa Catarina
Sophia Barbosa,Ajudante de cabista,86168,0,0,46362.66,86168,132530.66,Santa Catarina
Luiza Cardoso,Ajudante de lapidador (vidros),86821.6,0,5000,39670.55,91821.6,131492.15,Santa Catarina
Ana Fernandes,Ajudante de manutenção de aeronave,84547.22,0,0,46756.93,84547.22,131304.15,Santa Catarina
