Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Davi Lima,Artesão moveleiro (exceto reciclado),113080,707.28,7959.83,83505.34,121747.11,205252.45,Sergipe
Julieta Santos,Ajudante de destilação de amônia,94738.41,14394.59,1175,57528.88,110308,167836.88,Sergipe
Erick Goncalves,Apanhador de café,104544.06,2226.36,1043.14,48947.72,107813.56,156761.28,Sergipe
Lucas Ribeiro,Assistente de laboratório industrial,106032.8,0,0,43320.14,106032.8,149352.94,Sergipe
Paulo Rocha,Auxiliar de técnico de eletrônica,95940.8,0,0,44202.11,95940.8,140142.91,Sergipe
Kauan Azevedo,Abatedor de animais,89021.61,633.87,0,48370.57,89655.48,138026.05,Sergipe
Matilde Gomes,Agente de defesa ambiental,101476.86,0,0,33100.66,101476.86,134577.52,Sergipe
Livia Barbosa,Auxiliar-ajudante de operador de máquinas de lavar fibras,54787.2,12323.65,3389.36,44007.93,70500.21,114508.14,Sergipe
Beatriz Souza,Abridor - nas salinas,79311.83,6029.79,1587.12,26671.36,86928.74,113600.1,Sergipe
Nicolash Alves,Analista de laboratório químico (petróleo),71284.83,0,3388.4,31977.09,74673.23,106650.32,Sergipe
Rebeca Lima,Apresentador de eventos,71524.19,4226.09,595.16,27959.8,76345.44,104305.24,Sergipe
Sofia Alves,Analista de tratamento de água,47861.85,799.22,0,40198.73,48661.07,88859.8,Sergipe
Erick Silva,Árbitro reserva (futebol),56989.5,0,1040,29535.67,58029.5,87565.17,Sergipe
Luiz Souza,Audiodescritor,53115.15,0,3146.25,28078.42,56261.4,84339.82,Sergipe
Beatriz Silva,Advogado (abuso do poder econômico),55829.64,0,3279.29,21834.6,59108.93,80943.53,Sergipe
Leila Azevedo,Agente de estação (ferrovia e metrô),47750.28,0,0,32397.9,47750.28,80148.18,Sergipe
Enzo Ferreira,Agente de trânsito,52608.19,0,0,27156.97,52608.19,79765.16,Sergipe
Gabriel Souza,Autor-roteirista de cinema,42058.09,308.58,841.18,28556.73,43207.85,71764.58,Sergipe
Vitór Alves,Auxiliar de pizzaiolo,44366.33,2279.56,293.4,22817.59,46939.29,69756.88,Sergipe
Alex Fernandes,Alvaner,43897.38,0,0,17953.91,43897.38,61851.29,Sergipe
Sophia Carvalho,Analista de planejamento financeiro,43674.42,0,0,16076.95,43674.42,59751.37,Sergipe
Luis Araujo,Aparelhador de pedra (mina),40908,0,0,17181.75,40908,58089.75,Sergipe
Vinicius Ferreira,Arruador de café,36732.19,0,0,16109.64,36732.19,52841.83,Sergipe
Livia Fernandes,Agente de venda de passagens,30477.6,0,0,0,30477.6,30477.6,Sergipe
José Lima,Ajudante de mineiro,22952.52,0,589.45,3857.23,23541.97,27399.2,Sergipe
João Correia,Assistente de estúdio (cinema e vídeo),15234.13,0,221.9,0,15456.03,15456.03,Sergipe
Júlio Martins,Advogado (propriedade intelectual),5187.5,0,0,0,5187.5,5187.5,Sergipe
Nicolash Araujo,Afiador de facas,3039.53,0,76,1497.55,3115.53,4613.08,Sergipe
Rodrigo Cavalcanti,Ajudante de cabista,1976.16,0,0,375,1976.16,2351.16,Sergipe
Caio Correia,Aparador - na extração da carnaúba,55071,5457,3571,37896,64099,101995,Sergipe
Guilherme Cardoso,Aramista (equilibrista),54575,0,0,31689,54575,86264,Sergipe
Kai Cardoso,Agente de estação (manobras),52565,6397,1194,20297,60156,80453,Sergipe
Kauan Costa,Aguilhoeiro,63362,0,0,13967,63362,77329,Sergipe
Luiz Correia,Árbitro de futebol de salão,45455,0,4911,14665,50366,65031,Sergipe
Júlia Barbosa,Agente de inspeção (qualidade),31103,5137,1469,7624,37709,45333,Sergipe
Marina Sousa,Ajudante de ensacador,26586,0,0,15301,26586,41887,Sergipe
Joao Fernandes,Alapini,22301,0,0,17235,22301,39536,Sergipe
Sophia Ribeiro,Amolador de tesouras ( inclusive ambulante),28163,489,0,8699,28652,37351,Sergipe
Nicole Almeida,Armador de manilhas,15998,0,0,9327,15998,25325,Sergipe
Sophia Ribeiro,Assistente de logística de transporte,14659,198,496,4310,15353,19663,Sergipe
Larissa Araujo,Agente de reserva de passagens rodoviárias,4744,0,0,0,4744,4744,Sergipe
Gabrielly Souza,Anotador de pontuação (karatê),132974.4,0,12083.2,34008.62,145057.6,179066.22,Sergipe
Laura Dias,Arador,79045.61,0,1924.8,17783.5,80970.41,98753.91,Sergipe
Vinícius Pereira,Atuário,13934.09,0,662.04,0,14596.13,14596.13,Sergipe
Kaua Goncalves,Auditor contábil,12158.78,0,0,0,12158.78,12158.78,Sergipe
Matheus Silva,Agente de serviços de fiscalização de transportes coletivos e licenciamento de veículos,10472.43,0,2584.15,6021.23,13056.58,19077.81,Sergipe
Cauã Silva,Ajudante de mineiro,194617.92,0,16602.96,191236.18,211220.88,402457.06,Sergipe
Letícia Rocha,Amestrador,151316.52,-646.66,44028.64,87900.39,194698.5,282598.89,Sergipe
Julieta Cavalcanti,Auxiliar em saúde bucal,79209.72,6517.83,15944.04,95643.75,101671.59,197315.34,Sergipe
Yasmin Martins,Agente fiscal metrológico,79209.72,17279.51,5898.82,80487.87,102388.05,182875.92,Sergipe
Erick Rocha,Ajudante de fabricação de celulose,48455.95,31461.46,27394.32,72063.1,107311.73,179374.83,Sergipe
Gustavo Correia,Alfarrabista (comércio varejista),94668.15,2316.47,15384.92,63557.48,112369.54,175927.02,Sergipe
Rodrigo Araujo,Assistente jurídico,116606.63,0,-3846.71,45856.67,112759.92,158616.59,Sergipe
Isabella Lima,Auditor fiscal (em contabilidade),80572.36,0,15581.6,58148.37,96153.96,154302.33,Sergipe
Marisa Cardoso,Ajudante de afiador,87229.87,0,1646.62,48688.8,88876.49,137565.29,Sergipe
