Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Vitor Cavalcanti,Abade,313683.72,0,111626.04,231906.81,425309.76,657216.57,São Paulo
Rafaela Araujo,Abastecedor de combustível de aeronave,196141.86,0,37981.26,153313.32,234123.12,387436.44,São Paulo
Fernanda Rocha,Abastecedor de silos de carvão,195243.2,0,8292.44,173484.6,203535.64,377020.24,São Paulo
Rodrigo Cardoso,Abatedor - na extração de madeira,186258.94,0,23120.63,152582.64,209379.57,361962.21,São Paulo
Eduardo Barros,Abatedor de animais,224494.43,0,16926.84,118742.58,241421.27,360163.85,São Paulo
Vinícius Barros,Abatedor em matadouro,191588.8,0,26684.84,123658.4,218273.64,341932.04,São Paulo
Davi Azevedo,Abridor de lã,222916,0,29802.04,85298.47,252718.04,338016.51,São Paulo
Matilde Rocha,Acabador de superfícies de concreto,161370.37,814.91,39830.55,127657.85,202015.83,329673.68,São Paulo
Felipe Souza,Acertador de maçaroqueira,225358.8,0,0,95160.69,225358.8,320519.49,São Paulo
Sarah Dias,Açougueiro desossador,185998.14,0,5711.54,122558.68,191709.68,314268.36,São Paulo
Laura Castro,Acrobata,161986.28,814.91,20386.83,127323.27,183188.02,310511.29,São Paulo
Eduardo Alves,Adaptador de obras para teatro,118963.67,57288.53,22654.29,108849.53,198906.49,307756.02,São Paulo
Igor Santos,Administrador,124223.84,71614.86,12483,96629.56,208321.7,304951.26,São Paulo
Camila Barbosa,Administrador de arquivos,162060.89,3259.64,23550.24,113418.13,188870.77,302288.9,São Paulo
Kauan Martins,Administrador de camping,95938.4,138914.56,9227.69,56793.27,244080.65,300873.92,São Paulo
Breno Souza,Administrador de carteiras de crédito e cobrança,161831.09,814.91,13807.14,123646.49,176453.14,300099.63,São Paulo
Gabriela Cavalcanti,Administrador de carteiras de crédito imobiliário,162066.84,0,23802.95,114086.77,185869.79,299956.56,São Paulo
Vitória Barros,Administrador de empresas de pesca,194854.4,0,11241.6,90946.86,206096,297042.86,São Paulo
Renan Gomes,Administrador de fundos e carteiras de investimento,94738.41,103708.93,12063.34,86326.37,210510.68,296837.05,São Paulo
Isabelle Fernandes,Administrador de instituições culturais,183477.62,0,8292.44,102611.66,191770.06,294381.72,São Paulo
Vitór Gomes,Administrador de marketing,206710.4,0,3975.2,82910.19,210685.6,293595.79,São Paulo
Beatrice Ferreira,Administrador de orçamento,148593.27,6351.26,24418.52,111857.03,179363.05,291220.08,São Paulo
Danilo Lima,Administrador de pequena e média empresa,160243.72,814.91,14067.97,113532.26,175126.6,288658.86,São Paulo
Mateus Cavalcanti,Administrador de recursos tecnológicos,214629.62,0,0,71083.46,214629.62,285713.08,São Paulo
Giovanna Lima,Administrador de sistemas operacionais de rede,102778.4,78276.59,9911.15,88732.99,190966.14,279699.13,São Paulo
Mariana Pinto,Administrador em segurança da informação,146890.28,0,15021.28,116560.24,161911.56,278471.8,São Paulo
Martim Pinto,Administrador financeiro,141069.55,708.73,26377.74,109961.52,168156.02,278117.54,São Paulo
Vitoria Rodrigues,Administrador florestal,113080,59233.92,10786.83,94476.04,183100.75,277576.79,São Paulo
Estevan Melo,Adubador,211462.4,0,0,64643.22,211462.4,276105.62,São Paulo
Marina Ribeiro,Advogado (áreas especiais),194854.4,0,3747.2,75953.68,198601.6,274555.28,São Paulo
Leonardo Pereira,Advogado (desportivo),202404.18,0,0,70950.64,202404.18,273354.82,São Paulo
Miguel Barbosa,Advogado (direito administrativo),94738.4,92999.83,4009.26,81429.13,191747.49,273176.62,São Paulo
Livia Gomes,Advogado (direito penal),151770.02,0,2804.4,117535.21,154574.42,272109.63,São Paulo
Thaís Ribeiro,Advogado (direito público),140934.08,3516.34,20633.35,107002.19,165083.77,272085.96,São Paulo
Brenda Cavalcanti,Advogado (direitos do consumidor),214030.82,0,1040,56891.42,215070.82,271962.24,São Paulo
Rodrigo Gomes,Advogado de empresa,141458.32,708.73,20853.81,107064.81,163020.86,270085.67,São Paulo
Thaís Fernandes,Advogado empresarial,102778.4,77695.55,9911.15,79626.33,190385.1,270011.43,São Paulo
Beatriz Costa,Advogado generalista,140928.88,2071.57,20412.85,106576.4,163413.3,269989.7,São Paulo
Júlia Cardoso,Advogado tributarista,208294.96,0,0,61067.25,208294.96,269362.21,São Paulo
Rodrigo Azevedo,Afiador,175052.8,0,8752.64,84708.67,183805.44,268514.11,São Paulo
Beatriz Barros,Afiador de cardas,108102.35,68217.05,9227.69,81789.29,185547.09,267336.38,São Paulo
Isabela Ferreira,Afiador de cutelaria,124461.75,33209.63,15427.15,94234.21,173098.53,267332.74,São Paulo
Lucas Melo,Afiador de ferramentas,113080,49108.99,16467.16,87851.54,178656.15,266507.69,São Paulo
André Souza,Afiador de tesouras ( inclusive ambulante),113080,34629,13199.87,104021.11,160908.87,264929.98,São Paulo
Lavinia Cavalcanti,Afinador de instrumentos musicais,95222.13,85020.43,9102.28,74805.94,189344.84,264150.78,São Paulo
Sarah Almeida,Agbá,140799.12,1362.84,15911.04,104529.48,158073,262602.48,São Paulo
Anna Costa,Agbagigan,127188.33,36867.2,11328.75,86819.3,175384.28,262203.58,São Paulo
André Goncalves,Agenciador de cargas,94738.4,75513.17,12967.64,78743.63,183219.21,261962.84,São Paulo
Thiago Oliveira,Agenciador de propaganda,175385.6,0,10118.4,76423.87,185504,261927.87,São Paulo
Vinicius Barros,Agente de coleta de lixo,175385.6,0,10118.4,75284.96,185504,260788.96,São Paulo
Davi Sousa,Agente de controle de vetores,140799.12,0,14911.03,103742.02,155710.15,259452.17,São Paulo
Letícia Fernandes,Agente de direitos autorais,167478.4,0,16074.4,75147.39,183552.8,258700.19,São Paulo
Tânia Oliveira,Agente de investigação privada,174379.52,0,0,83218.05,174379.52,257597.57,São Paulo
Matilde Castro,Agente de microcrédito,126677.75,0,31704.79,98798.9,158382.54,257181.44,São Paulo
Alice Sousa,Agente de pastoral,174074.91,0,6321.6,75124.17,180396.51,255520.68,São Paulo
Kai Ferreira,Agente de pátio e terminais (ferrovia e metrô),113080,29759.37,15427.15,96811.5,158266.52,255078.02,São Paulo
Laura Almeida,Agente de pesquisa,163488,0,9432,81576.48,172920,254496.48,São Paulo
Renan Lima,Agente de proteção social,94738.41,69831,6483,82704.96,171052.41,253757.37,São Paulo
Cauã Costa,Agente de proteção social de rua,94738.41,78728.66,6859.23,73393.91,180326.3,253720.21,São Paulo
Paulo Araujo,Agente de reservas,175385.6,0,10118.4,67719.73,185504,253223.73,São Paulo
Maria Castro,Agente de segurança socioeducativa,175159.69,0,3292.8,73695.69,178452.49,252148.18,São Paulo
Vinicius Almeida,Agente de tráfego,97504.56,67768.06,9227.69,75669.22,174500.31,250169.53,São Paulo
Martim Pereira,Agente de trânsito,113080,31480.9,10786.83,94599.82,155347.73,249947.55,São Paulo
Julian Ribeiro,Agente de transporte e trânsito,175385.6,0,1040,73029.28,176425.6,249454.88,São Paulo
Samuel Dias,Agente educacional,158805.6,0,8292.44,81645.57,167098.04,248743.61,São Paulo
Marisa Oliveira,Agente fiscal têxtil,113080,39403.1,5002,90688.03,157485.1,248173.13,São Paulo
Beatriz Cardoso,Agente penitenciário,135264.9,0,12973.89,99821.6,148238.79,248060.39,São Paulo
Caio Alves,Agente vistor,175052.8,0,3366.4,69085.17,178419.2,247504.37,São Paulo
Luana Oliveira,Agonjaí,113080,28584.13,10786.83,94476.04,152450.96,246927,São Paulo
Danilo Silva,Agricultor na produção de arroz,157534.84,0,8917.2,79655.83,166452.04,246107.87,São Paulo
André Silva,Agricultor na produção de gramíneas forrageiras,94738.4,56065.77,16224.99,78922.7,167029.16,245951.86,São Paulo
Luan Azevedo,Agricultor na produção de milho e sorgo,175984.02,0,0,69967.48,175984.02,245951.5,São Paulo
Douglas Dias,Agricultor polivalente,137563.44,0,0,108078.64,137563.44,245642.08,São Paulo
Fernanda Dias,Agricultor polivalente - conta própria,158724.9,0,6104.8,80621.63,164829.7,245451.33,São Paulo
Paulo Sousa,Agrimensor,94738.42,61690.73,5911.92,83014.03,162341.07,245355.1,São Paulo
Nicole Correia,Agropecuarista,158724.82,0,7184.8,78802.56,165909.62,244712.18,São Paulo
Martim Pereira,Ajudante,158724.84,0,6104.8,79235.61,164829.64,244065.25,São Paulo
Murilo Santos,Ajudante de acabamento de fundição,158724.85,0,6104.8,79162.35,164829.65,243992,São Paulo
Leonor Santos,Ajudante de calceteiro,87239.2,81201.97,5653.14,68969.98,174094.31,243064.29,São Paulo
Beatriz Rocha,Ajudante de carvoaria,112051.12,35839.68,10668.91,84398.46,158559.71,242958.17,São Paulo
Vitoria Dias,Ajudante de confeiteiro,158724.8,0,12209.6,71365.79,170934.4,242300.19,São Paulo
Livia Azevedo,Ajudante de embalador,158724.8,0,4112.4,78614.05,162837.2,241451.25,São Paulo
Gabriela Fernandes,Ajudante de encaixotador,94738.4,65872.18,6859.23,73163.28,167469.81,240633.09,São Paulo
Antônio Almeida,Ajudante de enfardamento,157414.44,0,4578.6,78480.56,161993.04,240473.6,São Paulo
Matilde Oliveira,Ajudante de entregador de publicações,158724.8,0,3052.4,78383.64,161777.2,240160.84,São Paulo
Marcos Sousa,Ajudante de estruturas metálicas,158724.85,0,3052.4,78310.39,161777.25,240087.64,São Paulo
Emily Gomes,Ajudante de farmácia,109092.8,20188.31,15273.99,94817.78,144555.1,239372.88,São Paulo
Estevan Barbosa,Ajudante de forneiro,113080,34184.13,7959.83,83505.34,155223.96,238729.3,São Paulo
Nicolash Costa,Ajudante de fundidor,158724.8,0,9157.2,70733.59,167882,238615.59,São Paulo
Carla Santos,Ajudante de gasista,152620,0,9996.61,75928.13,162616.61,238544.74,São Paulo
Erick Pereira,Ajudante de impressor de formulários contínuos,158724.84,0,9157.2,70513.86,167882.04,238395.9,São Paulo
Larissa Barros,Ajudante de lavador de automóvel,167787.2,0,0,70568.79,167787.2,238355.99,São Paulo
Isabella Ferreira,Ajudante de lavador de tapetes,94738.4,55429.41,11210.82,76845.95,161378.63,238224.58,São Paulo
Gabriel Fernandes,Ajudante de maquinista de trem,158724.8,0,610.48,77628.84,159335.28,236964.12,São Paulo
Gabrielly Cardoso,Ajudante de mineiro,113080,17537.9,10786.83,95218.73,141404.73,236623.46,São Paulo
Thaís Goncalves,Ajudante de montagem e fotolito,99654.48,44345.54,13115.46,79343.61,157115.48,236459.09,São Paulo
Thiago Araujo,Ajudante de oleiro,94738.4,41554.26,12909.22,87170.36,149201.88,236372.24,São Paulo
Julia Melo,Ajudante de operador de centrífugas,158724.84,0,0,77458.48,158724.84,236183.32,São Paulo
Marina Pereira,Ajudante de operador de guincho,158724.84,0,0,77458.47,158724.84,236183.31,São Paulo
Luis Oliveira,Ajudante de pintor à pistola,158724.8,0,0,77458.44,158724.8,236183.24,São Paulo
Matilde Almeida,Ajudante de pintor de produção,158724.8,0,0,77458.44,158724.8,236183.24,São Paulo
João Lima,Ajudante de pizzaiolo,158724.8,0,0,77458.44,158724.8,236183.24,São Paulo
Cauã Almeida,Ajudante de produção - na indústria de bebidas,158724.8,0,6704.8,70308.1,165429.6,235737.7,São Paulo
Nicolash Alves,Ajudante de rebarbação (metais),158724.8,0,6715.28,69993.45,165440.08,235433.53,São Paulo
Arthur Barbosa,Ajudante de reflorestamento,158724.8,0,6104.8,70449.35,164829.6,235278.95,São Paulo
Diego Correia,Ajudante de reparador (telecomunicações),94738.41,56605.04,9227.69,74625.61,160571.14,235196.75,São Paulo
José Pinto,Ajudante de saneamento,98350.24,42170.97,15137.04,79535.45,155658.25,235193.7,São Paulo
Kaua Alves,Ajudante de serrador,94738.4,77501.6,3543.46,59279.14,175783.46,235062.6,São Paulo
Larissa Cardoso,Ajudante de tratamento de preparo de xarope,158724.83,0,0,75950.84,158724.83,234675.67,São Paulo
Tiago Ribeiro,Ajudante de vaqueiro,83284.8,77024.09,5647.38,68707.21,165956.27,234663.48,São Paulo
Melissa Cardoso,Ajudante xaropeiro,94738.4,46165.32,11249.27,82497.32,152152.99,234650.31,São Paulo
Miguel Oliveira,Ajuntador de buriti,158724.8,0,6104.8,69808.42,164829.6,234638.02,São Paulo
Giovana Ribeiro,Ajustador de agulhas,158724.83,0,6104.8,69661.94,164829.63,234491.57,São Paulo
Murilo Costa,Ajustador de instrumentos de precisão,93130.4,56249.59,3503.26,80942.77,152883.25,233826.02,São Paulo
Renan Carvalho,Ajustador ferramenteiro,163737.6,0,0,69408.16,163737.6,233145.76,São Paulo
Tiago Melo,Ajustador limador de fresas,158724.85,0,4883.84,69438.37,163608.69,233047.06,São Paulo
Larissa Sousa,Ajustador mecânico de ferramentas,162501.6,0,0,69841.56,162501.6,232343.16,São Paulo
Victor Barbosa,Ajustador mecânico de manutenção,94738.41,56825.28,6951.92,73752.91,158515.61,232268.52,São Paulo
Camila Melo,Alabê,94738.4,58107.8,5710.52,73421.16,158556.72,231977.88,São Paulo
Mateus Almeida,Alambiqueiro,94738.4,43855.02,9227.69,84126,147821.11,231947.11,São Paulo
Matheus Costa,Alambrador - na fabricação de arame,94738.4,53336.7,9227.69,74625.6,157302.79,231928.39,São Paulo
Estevan Cardoso,Alayan,94738.4,53163.76,9227.69,74625.6,157129.85,231755.45,São Paulo
Lucas Cardoso,Alfaceiro,94738.4,57736.47,9227.69,69508.61,161702.56,231211.17,São Paulo
Leonardo Ferreira,Alfaite modelista,98946.81,45664.72,9428.52,77140.12,154040.05,231180.17,São Paulo
Luiz Correia,Alimentador de máquina automática,113080,16729.92,16440.83,83740.84,146250.75,229991.59,São Paulo
Isabella Carvalho,Alimentador de rotativas,113080,20778.3,10786.83,85223.21,144645.13,229868.34,São Paulo
Bianca Fernandes,Alimentador de serra de fita,112352.94,15958.02,14898.65,86631.7,143209.61,229841.31,São Paulo
Luan Araujo,Alisador de metal,144814.4,0,8634,76114.02,153448.4,229562.42,São Paulo
Vitória Rocha,Alugador (comerciante varejista),97153.4,45764.89,9824.64,76372.93,152742.93,229115.86,São Paulo
Otávio Pinto,Amansador,94738.4,48825.49,9227.69,75157.65,152791.58,227949.23,São Paulo
Vitoria Melo,Ambientador,94738.4,42589,12909.22,77339.95,150236.62,227576.57,São Paulo
Caio Rodrigues,Amolador - na fabricação,159147.22,0,0,68115.45,159147.22,227262.67,São Paulo
Manuela Cunha,Amolador de tesouras ( inclusive ambulante),158724.8,0,0,67958.04,158724.8,226682.84,São Paulo
Luis Dias,Analista ambiental,143665.6,0,8292.44,74171.4,151958.04,226129.44,São Paulo
Rafael Almeida,Analista contábil,158724.8,0,4112.4,63260.59,162837.2,226097.79,São Paulo
Antônio Silva,Analista de aplicativo básico (software),152620.04,0,6104.8,67189.04,158724.84,225913.88,São Paulo
Murilo Barros,Analista de areias em fundição,107829.89,8052.52,15262.68,94661.7,131145.09,225806.79,São Paulo
Enzo Pereira,Analista de comunicação (teleprocessamento),94738.4,45353.19,10219.07,75124.57,150310.66,225435.23,São Paulo
Mateus Castro,Analista de controle de qualidade,110137.6,32792.34,15287.19,66778.13,158217.13,224995.26,São Paulo
Clara Pinto,Analista de controle orçamentário (economista),158724.87,0,6104.8,59808.76,164829.67,224638.43,São Paulo
Anna Souza,Analista de desenvolvimento regional (economista),113080,15183.76,10786.83,84975.64,139050.59,224026.23,São Paulo
Carolina Carvalho,Analista de economia internacional,94738.41,52239.91,4463.46,72143.15,151441.78,223584.93,São Paulo
Tomás Silva,Analista de estação de tratamento de efluentes,94738.4,23540.97,17158.61,88117.64,135437.98,223555.62,São Paulo
Arthur Souza,Analista de exportação e importação,112880,32427.49,11110.16,66601.39,156417.65,223019.04,São Paulo
Thaís Carvalho,Analista de inteligência de mercado,147129.22,0,8358,67006.66,155487.22,222493.88,São Paulo
Cauã Azevedo,Analista de laboratório de controle de qualidade,170139.98,0,38970.26,13316.66,209110.24,222426.9,São Paulo
Danilo Costa,Analista de logística de transporte,162501.67,0,0,59502.6,162501.67,222004.27,São Paulo
Alice Pinto,Analista de marketing,94738.4,43910.11,2289.34,80953.58,140937.85,221891.43,São Paulo
Isabella Fernandes,Analista de meio ambiente (economista),146644.9,0,8389.2,66851.29,155034.1,221885.39,São Paulo
Brenda Souza,Analista de mercado,94577.6,54647.67,2425.1,70147.38,151650.37,221797.75,São Paulo
Alex Melo,Analista de micróbios,97141.05,42357.86,6859.23,75100.59,146358.14,221458.73,São Paulo
Sarah Barros,Analista de ocupações,140996.8,0,6033.28,74220.41,147030.08,221250.49,São Paulo
Júlio Pereira,Analista de pesquisa de mercado,94738.4,46932.38,5911.92,73563.16,147582.7,221145.86,São Paulo
Paulo Castro,Analista de planejamento financeiro,99475.33,50442.15,5464.02,65721.55,155381.5,221103.05,São Paulo
Leila Oliveira,Analista de produto industrial (economista),113080,8499.08,13199.87,86190.12,134778.95,220969.07,São Paulo
Isabela Carvalho,Analista de produtos bancários,94738.4,39020.16,11171.58,76018.8,144930.14,220948.94,São Paulo
Kaua Cavalcanti,Analista de produtos químicos,112823.39,901.1,8216.44,98965.37,121940.93,220906.3,São Paulo
Nicole Cardoso,Analista de projetos industriais (economista),107421.16,13606.3,14964.35,84893.11,135991.81,220884.92,São Paulo
Anna Gomes,Analista de rede,94738.4,53133.75,5821.4,66965.87,153693.55,220659.42,São Paulo
Vitór Gomes,Analista de redes e de comunicação de dados,94738.4,41948.04,9227.69,74625.6,145914.13,220539.73,São Paulo
Tiago Costa,Analista de sinistros,94738.4,31805.6,9227.69,84617.48,135771.69,220389.17,São Paulo
Nicolas Alves,Analista de sistemas de automação,158724.82,0,4960.15,56552.61,163684.97,220237.58,São Paulo
Kai Goncalves,Analista de sistemas web (webmaster),158724.8,0,0,61449.4,158724.8,220174.2,São Paulo
Livia Dias,Analista de subscrição de títulos,94738.4,45750.47,5911.92,73764.26,146400.79,220165.05,São Paulo
Julian Araujo,Analista de suporte à inteligência ( grupo apoio),131031.33,0,0,89050.46,131031.33,220081.79,São Paulo
Kauã Rocha,Analista de suporte computacional,94738.4,36116.47,12909.22,76230.12,143764.09,219994.21,São Paulo
Vitória Dias,Analista de telecomunicação,113080,10637.77,10786.83,84975.64,134504.6,219480.24,São Paulo
Leila Ribeiro,Analista de transporte multimodal,120518.84,0,0,98667.93,120518.84,219186.77,São Paulo
Thiago Martins,Analista econômico-financeiro,143665.6,0,8292.44,67189.32,151958.04,219147.36,São Paulo
Eduardo Alves,Analista financeiro (economista),126445.73,0,0,92509.11,126445.73,218954.84,São Paulo
Emily Pinto,Analista técnico de seguros,94738.4,35463.66,5911.92,82401.7,136113.98,218515.68,São Paulo
Diego Almeida,Analista técnico de sinistros,159924.8,0,6715.28,51807.16,166640.08,218447.24,São Paulo
Lavinia Alves,Analista técnico em inteligência (grupo informações),126112.8,0,0,92325.87,126112.8,218438.67,São Paulo
Lucas Santos,Âncora de rádio e televisão,94738.4,30199.88,9227.69,84126,134165.97,218291.97,São Paulo
Isabela Barros,Animador de circo,151992.8,0,0,66042.38,151992.8,218035.18,São Paulo
Martim Goncalves,Animador de eventos,120828.96,0,4430.4,92735.75,125259.36,217995.11,São Paulo
Ágatha Barros,Animador de festas populares,157414.4,0,9157.2,51274.69,166571.6,217846.29,São Paulo
Victor Carvalho,Animador de televisão,99661.64,15548.55,13270.84,89254.93,128481.03,217735.96,São Paulo
Renan Goncalves,Anodizador e anodizador de metais,113080,8652.5,10786.83,84975.64,132519.33,217494.97,São Paulo
Gabriel Azevedo,Anotador (futebol de salão),120518.83,0,0,96949.53,120518.83,217468.36,São Paulo
Marina Silva,Anotador de consumo de energia elétrica,140171.22,0,3773.84,73287.35,143945.06,217232.41,São Paulo
Giovana Dias,Anotador de mão-de-obra,160568.03,0,0,56657.37,160568.03,217225.4,São Paulo
Gabriel Silva,Antenista,94738.4,51454.03,6951.92,63890.3,153144.35,217034.65,São Paulo
Sofia Cardoso,Antropólogo,94738.4,43458.38,5911.92,72901.3,144108.7,217010,São Paulo
Rafael Rocha,Apanhador de babaçu,113080,9015.84,9289.95,84941.28,131385.79,216327.07,São Paulo
Nicolash Carvalho,Aparador de óleo de copaíba,123376,0,0,92227.3,123376,215603.3,São Paulo
Davi Melo,Aplicador de decalque em cerâmica,146123.2,0,2803.2,65962.3,148926.4,214888.7,São Paulo
Antônio Rodrigues,Aplicador de inseticida,163701.62,0,0,50940.86,163701.62,214642.48,São Paulo
