Nome do empregado,Cargo,Salário,Hora extra,Outros pagamentos,Benefícios,Salário total,Salário Total & Benefícios,Estado
Gabriela Cunha,Ajudante de destilação de amônia,162938.41,0,0,78679.55,162938.41,241617.96,Tocantins
Yasmin Sousa,Ajustador de oficina de cilindros,94738.4,40901.93,11771.77,86105.22,147412.1,233517.32,Tocantins
Clara Santos,Almoxarife,113080,13153,9456.71,93759.09,135689.71,229448.8,Tocantins
Martim Araujo,Amolador de facas,94738.4,56042.95,11419.16,64560.33,162200.51,226760.84,Tocantins
Aline Almeida,Analista de contas,158724.8,0,0,66476.34,158724.8,225201.14,Tocantins
Julieta Costa,Analista de crédito (instituições financeiras),158724.82,0,600,65101.06,159324.82,224425.88,Tocantins
Tomás Almeida,Analista fiscal (economista),94738.4,48391.25,3543.46,72074.38,146673.11,218747.49,Tocantins
Larissa Costa,Árbitro de karatê,116163.2,0,32937.89,61545.61,149101.09,210646.7,Tocantins
Vitór Sousa,Arrombador (comércio de gado),110125.64,0,8497.6,87917.54,118623.24,206540.78,Tocantins
Fernanda Costa,Assistente sindical de entidades patronais,134620.8,0,7855.2,57518.31,142476,199994.31,Tocantins
Aline Rocha,Auxiliar de cabo de fogo,79206.4,39891.66,4361.42,67202.26,123459.48,190661.74,Tocantins
Danilo Araujo,Auxiliar de enfermagem,118704,0,8757.39,59926.68,127461.39,187388.07,Tocantins
Martim Castro,Auxiliar de judiciário,112482.65,0,0,73246.52,112482.65,185729.17,Tocantins
Lavinia Dias,Abelheiro,94738.4,8682,3543.46,71669.48,106963.86,178633.34,Tocantins
Gabriel Rodrigues,Advogado (energia elétrica),94738.4,11996.45,4797.58,62749.22,111532.43,174281.65,Tocantins
Davi Cunha,Advogado empresarial,94738.4,15314.17,2289.34,61486.83,112341.91,173828.74,Tocantins
Vinicius Santos,Agente de coleta supervisor,87239.2,11996.56,4613.07,68409.04,103848.83,172257.87,Tocantins
Diego Ferreira,Ajudante de ensacador,87821.6,4047.12,0,75703.38,91868.72,167572.1,Tocantins
Júlio Barbosa,Ajudante de fabricação de celulose,94738.4,1743.42,6859.23,63842.39,103341.05,167183.44,Tocantins
Emily Cavalcanti,Aplainador de mármore,104506.48,0,0,52031.35,104506.48,156537.83,Tocantins
Kaua Cardoso,Aplicador de decalque em cerâmica,60764.32,52969.17,2993.94,39634.1,116727.43,156361.53,Tocantins
Davi Castro,Arraçoador de peixe,95966.4,0,0,57158.22,95966.4,153124.62,Tocantins
Gabriela Souza,Arrancador - na cultura,101504.8,0,0,51574.31,101504.8,153079.11,Tocantins
Lavinia Oliveira,Auxiliar de manutenção de edifícios,96011.31,0,1040,44486.47,97051.31,141537.78,Tocantins
Douglas Gomes,Auxiliar técnico em obras de infra-estrutura de estradas,71898.4,24379.55,3230.23,39613.24,99508.18,139121.42,Tocantins
Mateus Araujo,Auxiliar técnico- no futebol,100913.64,0,1040,37006.09,101953.64,138959.73,Tocantins
Alice Pinto,Acabador de embalagens (flexíveis e cartotécnicas),96676.86,0,2940.4,38155.79,99617.26,137773.05,Tocantins
Nicole Castro,Advogado (biodireito),93343.25,0,0,42620.2,93343.25,135963.45,Tocantins
Manuela Fernandes,Advogado (recursos hídricos e minerais),92351.91,0,0,43288.8,92351.91,135640.71,Tocantins
Brenda Araujo,Agente policial,85348.32,489.12,500,47089.64,86337.44,133427.08,Tocantins
Vitor Martins,Ajudante de entregador de publicações,79311.89,6608.99,5551.79,40583.58,91472.67,132056.25,Tocantins
Pedro Castro,Ajudante de pintor de produção,84197.61,0,0,46616.46,84197.61,130814.07,Tocantins
Marisa Rocha,Analista de controle de qualidade,90829.63,0,0,37511.59,90829.63,128341.22,Tocantins
Erick Araujo,Analista de ocupações,81360.8,0,0,45819.55,81360.8,127180.35,Tocantins
Alex Costa,Andrologista,80062.48,0,0,46065.93,80062.48,126128.41,Tocantins
Aline Santos,Arqueador e temperador de molas,66938.4,0,5810.65,50299.3,72749.05,123048.35,Tocantins
Letícia Melo,Auxiliar administrativo trilíngüe,73080.25,0,0,45040.92,73080.25,118121.17,Tocantins
Leila Fernandes,Administrador florestal,54740,9119.87,2499.18,46374.73,66359.05,112733.78,Tocantins
Luís Fernandes,Agente de reserva de passagens aéreas,78612.91,0,0,32178.47,78612.91,110791.38,Tocantins
Carolina Azevedo,Ajustador limador de tornos,77636.8,0,0,30671.32,77636.8,108308.12,Tocantins
Alice Castro,Aplicador serigráfico em vidros,62643.54,0,1434.9,40748.56,64078.44,104827,Tocantins
Tânia Alves,Atendente do setor de vinhos,71462.4,0,968.79,27233.57,72431.19,99664.76,Tocantins
Estevan Barbosa,Afinador de motores a diesel,61204.8,0,2357.6,29687.62,63562.4,93250.02,Tocantins
Tiago Castro,Analista de suporte à inteligência ( grupo apoio),47963.12,4051.18,2346.32,34642.22,54360.62,89002.84,Tocantins
Douglas Lima,Árbitro de futsal,54156.84,0,10.33,33483.44,54167.17,87650.61,Tocantins
Kauan Lima,Árbitro de judô,53115.19,0,1040,33480.57,54155.19,87635.76,Tocantins
Luis Martins,Asfaltador na conservação de vias permanentes (exceto trilhos),57126.09,0,3258.75,25848.77,60384.84,86233.61,Tocantins
